"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1965,10.9736007948869,2.24032047977116,1.13774661134086,10.9736007948869,2.24032047977116,1.13774661134086,0.0431696427563674,0.00881331812403436,0.00447584304157828,0.0431696427563674,0.00881331812403436,0.00447584304157828
"2",1966,46.0230149650941,11.2300047504291,5.43581946096653,56.996615759981,13.4703252302002,6.57356607230739,0.181052432264513,0.0441783241699681,0.0213842647098457,0.22422207502088,0.0529916422940024,0.025860107751424
"3",1967,202.500596482676,56.3023991597154,26.3060283093414,259.497212242657,69.7727243899156,32.8795943816488,0.79662806871758,0.22149105872193,0.103486710121831,1.02085014373846,0.274482701015933,0.129346817873255
"4",1968,600.690758693395,195.370435418909,87.4890719652193,860.187970936053,265.143159808824,120.368666346868,2.36308992322082,0.768578341770921,0.344178000678178,3.38394006695928,1.04306104278685,0.473524818551433
"5",1969,1332.40114092345,470.881707034892,206.226618004854,2192.58911185951,736.024866843716,326.595284351723,5.24160504258936,1.85242706137774,0.811286066672992,8.62554510954864,2.89548810416459,1.28481088522443
"6",1970,2763.83921821351,1048.29548923484,450.61946681428,5095.89816295437,1828.75024572681,797.244067417203,10.8728168553305,4.12394642554026,1.77271633669245,20.0470298974309,7.19421967996413,3.13632163437823
"7",1971,5315.66500770374,2203.20699783636,925.163700735954,10814.2140088347,4178.05979163563,1786.00517089924,20.9115825957526,8.66731538650845,3.63955161103904,42.5426224425645,16.4362957966991,7.02606251401729
"8",1972,8471.98092981874,3656.27697856327,1518.79265012823,19293.3598081596,7835.92204789984,3305.5861052423,33.3283848223679,14.3836261162746,5.97486070001585,75.8991935333009,30.8261583228175,13.0040242880179
"9",1973,14175.9882253938,6456.43406920146,2643.86691418901,34262.7153273182,14584.6710811155,6076.087857447,55.7676881861665,25.3993158177702,10.4008513079954,134.787952303917,57.3754278162048,23.9030512468166
"10",1974,19515.3034895246,9365.89269964954,3782.05304449423,53876.5046805594,23980.6256433099,9871.84965788265,76.7723098071339,36.8449927690765,14.8784233970423,211.947700986646,94.3386825752066,38.8354042616468
"11",1975,21976.0325079501,10967.8286958866,4383.34743064622,75852.5371885095,34948.4543391965,14255.1970885289,86.4527050239121,43.146935583357,17.2438879630292,298.400406010558,137.485618158564,56.0792922246761
"12",1976,32186.0093591553,16540.5458582895,6559.77107655369,109757.922876161,52234.600989343,21124.3276907585,126.618286172324,65.0697495784955,25.8058388701658,431.782639883577,205.488527091492,83.1021372951158
"13",1977,50485.31195261,27151.4460583975,10638.3766610022,160243.234828771,79386.0470477404,31762.7043517607,198.606904167084,106.812544812633,41.8508863724231,630.389544050661,312.301071904124,124.953023667539
