"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1977,207.20403556252,124.939579614953,53.0202295227809,1714.20642945975,1067.46498061243,422.661161305977,0.678333066838779,0.40902025860489,0.173574683519289,5.61187382925913,3.49460758366041,1.38368464206777
"2",1978,831.50720228696,500.411579694303,213.265963783362,6313.21961648979,3924.19006280041,1560.02945454733,2.72214211028557,1.63821964477739,0.698178270865991,20.6678678455956,12.8467955410766,5.10713780930496
"3",1979,1667.34205321631,998.674201279913,430.097778378669,10617.8158590263,6572.28371582591,2636.99886354659,5.45845183640847,3.26940414981718,1.40803022613002,34.7600160162397,21.5159775097409,8.63286046289481
"4",1980,1626.25420744528,968.935703953905,422.165035606615,12244.0700664715,7541.21941977981,3059.16389915321,5.32394072828262,3.17204790847003,1.38206045330005,40.0839567445223,24.688025418211,10.0149209161949
"5",1981,3003.17253093241,1776.35198005483,786.439582874145,15247.242597404,9317.57139983464,3845.60348202735,9.83161948377538,5.81532248223106,2.57460224018399,49.9155762282977,30.503347900442,12.5895231563789
"6",1982,3802.06752342982,2235.94101856665,1002.58528370632,19426.0607193081,11789.1437686507,4940.59899867947,12.4469975524105,7.31989955831385,3.28220803430601,63.5959589713133,38.5946442900198,16.174258680322
"7",1983,3315.9816701258,1948.5278356011,875.341196985316,24249.0447833311,14680.1970052492,6185.58112744798,10.8556766752687,6.37898223823545,2.86564340829267,79.3851764090023,48.0592138533107,20.2500120471631
"8",1984,7250.72575319087,4218.2422048541,1937.05050210093,31499.770536522,18898.4392101033,8122.63162954891,23.7370233818869,13.8094471167965,6.34140838108943,103.122199790889,61.8686609701073,26.5914204282526
"9",1985,4205.04028258797,2449.85959308758,1121.64342555392,37588.5638114815,22526.4555544378,9706.32621983182,13.7662273967045,8.02021430997695,3.67197396850879,123.055353140619,73.7458594364036,31.776031844947
"10",1986,7262.20080279042,4217.32975070684,1944.61622827893,45227.5152127462,26979.416655394,11743.3526810566,23.7745897621259,13.8064599750723,6.36617663537199,148.06332809335,88.3237162427398,38.4447359699561
"11",1987,12441.1373393677,7168.05393629106,3362.62406646726,57668.6525521139,34147.470591685,15105.9767475238,40.7291046405769,23.4663769779859,11.0083719626415,188.792432733927,111.790093220726,49.4531079325976
