"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1960,162.801835902459,117.841684437539,57.4725044111079,553.131569256162,391.257620346167,203.547849774567,0.35243138769433,0.255102211497431,0.124415762092578,1.19741233537003,0.84698962588602,0.440637851290743
"2",1961,331.575293169705,242.829706967524,114.719983899395,884.706862425867,634.087327313691,318.267833673962,0.717790066980372,0.525674726734942,0.248344393033496,1.9152024023504,1.37266435262096,0.688982244324238
"3",1962,1219.14281624561,898.475933135361,417.398837485512,3413.71073131062,2453.26228188022,1222.97531603612,2.63918519189454,1.94500951521561,0.90357980732573,7.38995849496225,5.31079164794691,2.64748173973149
"4",1963,3457.49955820988,2558.79976296992,1175.55004707662,8055.77937293291,5842.09346367246,2841.58417670277,7.48475200232086,5.53925787320799,2.54481610786977,17.4390509027375,12.6468912038292,6.1514260517653
"5",1964,6483.27155930481,4864.34427846579,2152.7886684401,20673.7732109525,15176.3284895653,7141.31203232672,14.0349055634358,10.5302719393767,4.66033011007042,44.7543268859647,32.8535269890142,15.4594233877009
"6",1965,8056.46876694071,6074.66457310659,2652.86724022802,34444.217584612,25415.8226994152,11792.9940132958,17.4405432943036,13.1503582463299,5.74289397696079,74.5644134422621,55.0198565863511,25.5293266328209
"7",1966,18385.9575223114,13911.5954074974,6018.81956125286,55829.2190964612,41461.288287844,18904.8595499621,39.801691963471,30.115648557206,13.0294656598654,120.858398500157,89.7548807473788,40.925004613286
"8",1967,24697.758079806,18779.6454798373,8016.53083865807,84560.6047654854,63134.4577606934,28370.8584678701,53.4653992367749,40.6539427530291,17.3540861643316,183.055744528749,136.672688219938,61.4168812316193
"9",1968,26071.2783201644,20021.3340300658,8317.98616769153,131178.310419173,98630.0979341691,43478.8958750983,56.4387787545942,43.3419346691853,18.0066729079036,283.973173399137,213.513208193753,94.1225725357237
"10",1969,45054.2701128307,34876.5919185649,14176.2451772576,182945.565365814,138501.218339047,59919.54774692,97.5329230742432,75.5004120179152,30.6885590842435,396.03828247384,299.825713303571,129.713091043494
"11",1970,43205.8374118195,33698.9651834765,13418.8877554345,227977.680939973,173535.968221679,73972.8424435661,93.531458973634,72.9511003216895,29.0490411655783,493.52324567856,375.668503713242,160.135488457881
"12",1971,45310.644321379,35526.9089325386,13946.9102275754,273678.654994706,209336.293090126,88065.8280165049,98.087918769389,76.9082101941797,30.192097640088,592.456145395625,453.16860132181,190.643808187167
"13",1972,47901.1532386675,37769.1685625068,14603.0216479547,321579.808233373,247105.461652633,102668.84966446,103.695820225129,81.7622259279713,31.6124394752066,696.151965620754,534.930827249781,222.256247662374
"14",1973,42418.3798613617,33582.27122226,12841.3309273617,363998.188094735,280687.732874893,115510.180591821,91.8267806712069,72.6984826871334,27.7987533339841,787.978746291961,607.629309936915,250.055000996358
"15",1974,35890.377974445,28465.5176459847,10830.1330811655,407424.662729098,314888.663345394,128785.074193821,77.6950434513903,61.6217982420202,23.444937273289,881.987837978317,681.667058463151,278.792325411117
"16",1975,35101.7610558334,27910.8559363347,10546.0536014186,442526.423784932,342799.519281729,139331.12779524,75.9878553632165,60.421073477774,22.8299655519463,957.975693341533,742.088131940926,301.622290963063
"17",1976,36349.9023455501,28974.329079042,10875.2079761678,478876.326130482,371773.848360771,150206.335771407,78.6898160894887,62.723266898274,23.5425148448671,1036.66550943102,804.811398839199,325.16480580793
"18",1977,18436.7495698916,14716.0869143952,5502.57003225413,497313.075700373,386489.935275166,155708.905803662,39.9116459557788,31.8572017564842,11.9118951061121,1076.5771553868,836.668600595684,337.076700914042
"19",1978,26186.8058403824,20921.9600974846,7803.19250658386,523499.881540756,407411.89537265,163512.098310245,56.6888712921975,45.2915987683314,16.8922539988372,1133.266026679,881.960199364015,353.96895491288
"20",1979,29690.0506466179,23722.2582690425,8846.12197527345,553189.932187374,431134.153641693,172358.220285519,64.2726520379764,51.3536493901152,19.1499747295653,1197.53867871697,933.31384875413,373.118929642445
"21",1980,26947.321488038,21582.9260511247,7995.78788602158,580137.253675411,452717.079692818,180354.00817154,58.3352260988295,46.7224496366205,17.3091820786865,1255.8739048158,980.036298390751,390.428111721131
"22",1981,10783.7181444632,8647.73786957331,3192.97908824703,590920.971819875,461364.817562391,183546.987259788,23.3444587961204,18.7205152871651,6.91212138187491,1279.21836361192,998.756813677916,397.340233103006
"23",1982,18225.237612194,14647.3656034634,5375.78584335184,609146.209432069,476012.183165854,188922.773103139,39.4537675027989,31.7084347180684,11.6374342722717,1318.67213111472,1030.46524839598,408.977667375278
"24",1983,11168.3375623289,8983.99489626965,3289.07140812024,620314.546994398,484996.178062124,192211.84451126,24.1770781239135,19.4484403126026,7.12014083971427,1342.84920923864,1049.91368870859,416.097808214992
"25",1984,16064.3660423514,12922.3804503757,4731.18985399149,636378.913036749,497918.5585125,196943.034365251,34.7759396283938,27.9742083324456,10.242020898871,1377.62514886703,1077.88789704103,426.339829113863
"26",1985,20619.0805642757,16580.8849234807,6075.66802891396,656997.993601025,514499.44343598,203018.702394165,44.6359289252899,35.8940932722861,13.1525305149699,1422.26107779232,1113.78199031332,439.492359628833
"27",1986,17103.9699589782,13783.2041781817,5021.74298583566,674101.963560003,528282.647614162,208040.445380001,37.0264612454152,29.8377088222841,10.8710067016855,1459.28753903774,1143.6196991356,450.363366330519
"28",1987,11147.9278195874,8988.43813082954,3270.03925101569,685249.89137959,537271.085744992,211310.484631016,24.132895366901,19.4580589714654,7.07894026293951,1483.42043440464,1163.07775810707,457.442306593458
"29",1988,10007.8895585146,8081.7366390564,2927.72377174641,695257.780938105,545352.822384048,214238.208402763,21.6649547312976,17.4952428693081,6.33789997479187,1505.08538913593,1180.57300097638,463.78020656825
"30",1989,19932.1455362871,16083.2867653368,5838.97132194149,715189.926474392,561436.109149385,220077.179724704,43.1488605281319,34.8168989739746,12.6401324302766,1548.23424966407,1215.38989995035,476.420338998527
"31",1990,30711.3118680794,24842.4306391524,8958.89750556854,745901.238342472,586278.539788537,229036.077230273,66.4834656168462,53.7785845922661,19.3941097936421,1614.71771528091,1269.16848454262,495.814448792169
"32",1991,22261.4595680655,18010.2776898057,6491.88907053694,768162.697910537,604288.817478343,235527.96630081,48.19133054725,38.9884249387791,14.0535606444745,1662.90904582816,1308.1569094814,509.868009436643
"33",1992,25846.8025699585,20920.7581400187,7531.32692138954,794009.500480496,625209.575618362,243059.293222199,55.9528364449744,45.2889967857721,16.3037227643751,1718.86188227314,1353.44590626717,526.171732201018
