"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1959,374.082705366484,256.524676582607,124.189130804651,1221.701958114,842.922601567811,423.961375487978,1.46733632868104,1.00621592966735,0.487130842037888,4.79211586166542,3.30635695744088,1.66298500114202
"2",1960,1063.70005368756,728.515508249745,350.057947602862,3662.78329751628,2524.33473791851,1261.14922070125,4.17235469377454,2.85759607682242,1.37309941436075,14.3672372965396,9.9016822043953,4.94684742404699
"3",1961,2086.15505250095,1426.18154218705,677.825628598206,7020.36722913851,4830.11316758337,2388.63321632444,8.18292599973909,5.59418534490985,2.65876544166567,27.5373325957552,18.9460790909654,9.36939410436887
"4",1962,4064.81873601879,2770.10490505455,1291.76351133691,11614.9479981245,7966.71677575367,3867.75438058843,15.9442179905655,10.8657136593951,5.06693172674817,45.559537794436,31.249380892719,15.1712346805571
"5",1963,8274.11633350023,5618.16138932894,2563.08120121026,19995.0167382182,13658.1779057058,6468.30711238411,32.4551531244508,22.0371917458179,10.0536648873162,78.4302883605099,53.5740902670086,25.3718813377613
"6",1964,12853.8834397764,8695.08109645829,3877.8004674193,32848.9001779946,22353.259002164,10346.1075798034,50.4192518532438,34.1063839376418,15.2106403733533,128.849540213754,87.6804742046503,40.5825217111146
"7",1965,10588.6089620625,7146.17286244681,3142.91155098916,43437.5091400571,29499.4318646109,13489.0191307926,41.5337313843753,28.0308041555408,12.3280446554717,170.383271598129,115.711278360191,52.9105663665863
"8",1966,16435.6846019481,11069.3632393924,4807.7534294914,59873.1937420051,40568.7951040032,18296.772560284,64.4688373913335,43.4194860749158,18.8583732025844,234.852108989462,159.130764435107,71.7689395691707
"9",1967,18615.8630299923,12512.5705041356,5368.99830291106,78489.0567719974,53081.3656081388,23665.770863195,73.0205693067181,49.0804546762293,21.0598515928988,307.872678296181,208.211219111336,92.8287911620695
"10",1968,17609.3290157258,11820.2646503764,5031.15569571513,96098.3857877232,64901.6302585152,28696.9265589102,69.072447931421,46.3648906707131,19.7346667506078,376.945126227601,254.576109782049,112.563457912677
