"","year1","IBT_ag","IST","IBR","BT_ag","ST","BR","IBT_ag_m2","IST_m2","IBR_m2","BT_m2","ST_m2","BR_m2"
"1",1963,0.363796348472858,0.0558256820328691,0.0306313289599995,0.363796348472858,0.0558256820328691,0.0306313289599995,0.000727432830711677,0.000111626832094522,6.1249197325287e-05,0.000727432830711677,0.000111626832094522,6.1249197325287e-05
"2",1964,9.21987376640603,1.96625518924939,0.987746190260275,9.58367011487889,2.02208087128226,1.01837751922027,0.0184356959624663,0.0039316463296605,0.00197505832651125,0.019163128793178,0.00404327316175502,0.00203630752383654
"3",1965,29.5674314919058,7.72387721972941,3.67556578443215,39.1511016067846,9.74595809101166,4.69394330365242,0.0591218699069357,0.0154443602680536,0.00734951638261411,0.0782849987001138,0.0194876334298086,0.00938582390645065
"4",1966,154.92380860525,46.9586554073403,21.4409363900387,194.074910212035,56.7046134983519,26.1348796936912,0.309779537676583,0.0938966753590828,0.0428724508005295,0.388064536376697,0.113384308788891,0.0522582747069801
"5",1967,589.297273832635,196.907534318716,87.48768227342,783.37218404467,253.612147817068,113.622561967111,1.17833558757319,0.393728539825095,0.174936919063952,1.56640012394989,0.507112848613987,0.227195193770932
"6",1968,1351.45960581314,496.326908215414,215.057766778467,2134.83178985781,749.939056032482,328.680328745578,2.70232532782688,0.992435711125479,0.430021028828065,4.26872545177677,1.49954855973947,0.657216222598997
"7",1969,3504.40773139653,1389.28820532306,590.025360939663,5639.23952125434,2139.22726135555,918.705689685241,7.00727549003382,2.77796590349202,1.17979144183752,11.2760009418106,4.27751446323149,1.83700766443652
"8",1970,4361.72564881654,1884.83704711206,782.531049939021,10000.9651700709,4024.0643084676,1701.23673962426,8.7215345861094,3.76884582367724,1.56471822536556,19.99753552792,8.04636028690873,3.40172588980208
"9",1971,7305.36109538755,3250.70266881481,1339.07984336907,17327.0177871738,7279.88644577801,3042.78568779416,14.6075119315971,6.49997685272089,2.67757124308681,34.6464214102902,14.5565738269277,6.08423425747006
"10",1972,13152.168955697,6178.13416128417,2508.37272396748,30737.4703017564,13538.391374873,5587.60695549621,26.2985583379343,12.3535534106515,5.01564317161297,61.461433366176,27.0708334551664,11.1727584996475
"11",1973,19262.1602483113,9541.02963403931,3819.09013416197,52676.7956901888,24305.2273130059,9907.91535143128,38.515855955867,19.077866569381,7.63650201190447,105.330443152025,48.5997739658723,19.8114767803423
"12",1974,25450.317998961,12974.8559235566,5153.47842328595,78277.0384497896,37323.852322116,15081.5844289437,50.8894521404956,25.9440101918811,10.3046922081521,156.519678931042,74.6313030950257,30.1565414243904
"13",1975,30869.737130455,16180.8588284218,6381.3927108236,112512.032765908,54962.5532329158,22068.0000430013,61.7259089003957,32.3546071595138,12.7599811900355,224.974623378154,109.900953786907,44.1263025503498
"14",1976,50563.3032051775,27393.8716311313,10710.7963998059,163075.335971085,82356.4248640471,32778.7964428072,101.104386932623,54.775705331943,21.41688606,326.079010310777,164.67665911885,65.5431886103498
"15",1977,62894.9243473561,35541.824803964,13742.7843088771,226064.462538789,117926.847419597,46534.6410163737,125.762210224074,71.0680311507716,27.4795295049872,452.029583579435,235.801873205832,93.0488329055286
"16",1978,81840.6492356707,48284.8219314806,18456.5501823602,307905.11177446,166211.669351078,64991.1911987339,163.645334513925,96.5484256383258,36.9049898402926,615.674918093361,332.350298844157,129.953822745821
