site_code,sp_elev,Specie,elev_code,sp_code,season,mean_tau,sd_tau,mean_pvalue_mk,sd_pvalue_mk,mean_senslope,sd_senslope,mean_pvalue_sen,sd_pvalue_sen,ypos,p_value_string,taulabel
PIHAL_NACIMIENTO_L,halepensis_low,P. halepensis,low,halepensis,autumn,-0.07509882003068924,-0.12252964824438095,0.6345102190971375,0.42817774415016174,-4.4333333333333263e-4,-1.737712743206804e-4,0.6345102928818573,0.42817779030963826,0.43,,"tau == ""-0.08"""
PIHAL_NACIMIENTO_L,halepensis_low,P. halepensis,low,halepensis,spring,-0.22970342636108398,0.1778656244277954,0.1320873647928238,0.24521100521087646,-0.0011333333333333334,2.2302217938366587e-4,0.1320873766855381,0.24521106099768,0.43,,"tau == ""-0.23"""
PIHAL_NACIMIENTO_L,halepensis_low,P. halepensis,low,halepensis,summer,-0.003952569328248501,-0.343873530626297,1,0.023128865286707878,-2.083333333333451e-5,-4.144266613669177e-4,1,0.023128868664483777,0.43,,"tau == ""0"""
PIHAL_NACIMIENTO_L,halepensis_low,P. halepensis,low,halepensis,winter,-0.15415020287036896,-0.23320159316062927,0.31557267904281616,0.1255701631307602,-8.958333333333283e-4,-2.4163026884268515e-4,0.3155727359639028,0.12557019892294263,0.43,,"tau == ""-0.15"""
PIHAL_NACIMIENTO_L,halepensis_low,P. halepensis,low,halepensis,yearly,-0.1304347962141037,-0.16996048390865326,0.39803561568260193,0.2673269510269165,-6.382151029748265e-4,-1.834952091385955e-4,0.398035689594248,0.2673270197885057,0.43,,"tau == ""-0.13"""
PIHAL_NACIMIENTO_M,halepensis_medium,P. halepensis,medium,halepensis,autumn,-0.1462450623512268,0.1462450623512268,0.34171783924102783,0.34171783924102783,-5.983333333333349e-4,1.9763089749330224e-4,0.34171788004556686,0.34171788004556686,0.46,,"tau == ""-0.15"""
PIHAL_NACIMIENTO_M,halepensis_medium,P. halepensis,medium,halepensis,spring,-0.22529645264148712,-0.051383402198553085,0.1391441375017166,0.7513001561164856,-0.0010872549019607838,-8.994442003779051e-5,0.13914417482242494,0.7513001501987963,0.46,,"tau == ""-0.23"""
PIHAL_NACIMIENTO_M,halepensis_medium,P. halepensis,medium,halepensis,summer,-0.1936759054660797,0.23320159316062927,0.20490440726280212,0.1255701780319214,-5.527777777777724e-4,3.8682805985033143e-4,0.20490442371975073,0.12557019892294263,0.46,,"tau == ""-0.19"""
PIHAL_NACIMIENTO_M,halepensis_medium,P. halepensis,medium,halepensis,winter,-0.18577076494693756,-0.24901187419891357,0.22441142797470093,0.10153680294752121,-5.595238095238074e-4,-5.252512183544014e-4,0.22441148378657244,0.10153683396733747,0.46,,"tau == ""-0.19"""
PIHAL_NACIMIENTO_M,halepensis_medium,P. halepensis,medium,halepensis,yearly,-0.20158104598522186,-0.13833993673324585,0.18666048347949982,0.3692092299461365,-7.037493399049496e-4,-1.827896227215447e-4,0.18666052241558184,0.3692092650321578,0.46,,"tau == ""-0.2"""
PIHAL_RAGUA_H,halepensis_high,P. halepensis,high,halepensis,autumn,-0.01976284757256508,-0.12252964824438095,0.9158665537834167,0.42817774415016174,-4.99999999999997e-5,-2.708497777397399e-4,0.9158665384265181,0.42817779030963826,0.49,,"tau == ""-0.02"""
PIHAL_RAGUA_H,halepensis_high,P. halepensis,high,halepensis,spring,-0.24901187419891357,0.02766798622906208,0.10153680294752121,0.87409210205078125,-0.0011472222222222207,4.8549462935971545e-5,0.10153683396733747,0.8740921801633091,0.49,,"tau == ""-0.25"""
PIHAL_RAGUA_H,halepensis_high,P. halepensis,high,halepensis,summer,-0.1304347962141037,0.25691699981689453,0.39803561568260193,0.09097647666931152,-4.238095238095247e-4,3.730458989343807e-4,0.398035689594248,0.09097646308605899,0.49,,"tau == ""-0.13"""
PIHAL_RAGUA_H,halepensis_high,P. halepensis,high,halepensis,winter,-0.32015812397003174,-0.2964427173137665,0.03461475670337677,0.05065703019499779,-9.863636363636361e-4,-5.071118268153798e-4,0.03461476349250277,0.05065703009411877,0.49,*,"tau == ""-0.32*"""
