year,sp_code,elev_code,npp,npp_qc
2000,nigra,medium,696.4000000000001,22
2000,nigra,low,659.5,20
2000,nigra,high,687.7,22
2000,pinaster,low2,517.2,18
2000,pinaster,low,579.9,16
2000,pinaster,medium,719.1,20
2000,pinaster,high,716.2,28
2000,halepensis,medium,616,16
2000,halepensis,low,240.60000000000002,22
2000,halepensis,high,448.8,20
2000,sylvestris,low,829.8000000000001,22
2000,sylvestris,medium,775.1,20
2000,sylvestris,high,616.6,26
2001,nigra,medium,742,5
2001,nigra,low,712.3000000000001,7
2001,nigra,high,719.2,11
2001,pinaster,low2,587,7
2001,pinaster,low,659.9000000000001,11
2001,pinaster,medium,771.8000000000001,5
2001,pinaster,high,734.8000000000001,18
2001,halepensis,medium,589.7,7
2001,halepensis,low,244.20000000000002,16
2001,halepensis,high,498.1,11
2001,sylvestris,low,875.6,5
2001,sylvestris,medium,820.6,14
2001,sylvestris,high,665,20
2002,nigra,medium,785.4000000000001,5
2002,nigra,low,745.1,5
2002,nigra,high,772,5
2002,pinaster,low2,566,3
2002,pinaster,low,695.6,3
2002,pinaster,medium,826.1,5
2002,pinaster,high,821.9000000000001,5
2002,halepensis,medium,688,3
2002,halepensis,low,300.6,13
2002,halepensis,high,512.7,14
2002,sylvestris,low,971.4000000000001,16
2002,sylvestris,medium,854.3000000000001,16
2002,sylvestris,high,718.8000000000001,24
2003,nigra,medium,668.1,11
2003,nigra,low,665.4000000000001,7
2003,nigra,high,646.7,19
2003,pinaster,low2,546.6,7
2003,pinaster,low,604.3000000000001,0
2003,pinaster,medium,704.3000000000001,14
2003,pinaster,high,704.5,19
2003,halepensis,medium,554.8000000000001,5
2003,halepensis,low,266.5,11
2003,halepensis,high,511.3,7
2003,sylvestris,low,886.3000000000001,14
2003,sylvestris,medium,823.9000000000001,11
2003,sylvestris,high,659.2,28
2004,nigra,medium,826.5,3
2004,nigra,low,779.6,5
2004,nigra,high,774.8000000000001,7
2004,pinaster,low2,651.6,7
2004,pinaster,low,752.1,3
2004,pinaster,medium,872.9000000000001,5
2004,pinaster,high,813.4000000000001,9
2004,halepensis,medium,704.7,3
2004,halepensis,low,390.1,9
2004,halepensis,high,566,0
2004,sylvestris,low,997,18
2004,sylvestris,medium,882.1,17
2004,sylvestris,high,750.6,28
2005,nigra,medium,631.2,3
2005,nigra,low,593.3000000000001,3
2005,nigra,high,601.5,9
2005,pinaster,low2,529.2,8
2005,pinaster,low,558.4,8
2005,pinaster,medium,649.9000000000001,9
2005,pinaster,high,648.5,7
2005,halepensis,medium,639.6,7
2005,halepensis,low,297.7,13
2005,halepensis,high,484.5,11
2005,sylvestris,low,842.8000000000001,16
2005,sylvestris,medium,789.4000000000001,18
2005,sylvestris,high,644.8000000000001,18
2006,nigra,medium,697.7,11
2006,nigra,low,663.5,8
2006,nigra,high,665.2,11
2006,pinaster,low2,553.4,7
2006,pinaster,low,589,5
2006,pinaster,medium,719.9000000000001,18
2006,pinaster,high,696.6,9
2006,halepensis,medium,611.3000000000001,5
2006,halepensis,low,286.40000000000003,14
2006,halepensis,high,509.6,13
2006,sylvestris,low,904.5,22
2006,sylvestris,medium,843,27
2006,sylvestris,high,630.1,22
2007,nigra,medium,805,0
2007,nigra,low,765.3000000000001,0
2007,nigra,high,838.6,11
2007,pinaster,low2,620.2,5
2007,pinaster,low,716.2,9
2007,pinaster,medium,862.4000000000001,3
2007,pinaster,high,810.2,13
2007,halepensis,medium,694.6,3
2007,halepensis,low,311.90000000000003,8
2007,halepensis,high,588,7
2007,sylvestris,low,929.9000000000001,17
2007,sylvestris,medium,854.3000000000001,14
2007,sylvestris,high,746.3000000000001,14
2008,nigra,medium,717.4000000000001,9
2008,nigra,low,661.5,7
2008,nigra,high,726.2,13
2008,pinaster,low2,527.6,16
2008,pinaster,low,620.9000000000001,5
2008,pinaster,medium,773.6,17
2008,pinaster,high,733.9000000000001,20
2008,halepensis,medium,644.7,5
