tmed,modelo,pred,name_modelo
0,mtrat1,0.4209115826628735,Gaussian
0,mtrat2,NA,Gaussian Extended
0,mtrat3,0,Log-normal
0,mtrat4,0.9836226678146743,Logistic
0,mtrat5,9.94020610918467,Asymptotic
0,mtrat6,0.9999999717353438,Logistic_Mod
0.5,mtrat1,0.49611550645100144,Gaussian
0.5,mtrat2,NA,Gaussian Extended
0.5,mtrat3,1.782204823750367e-7,Log-normal
0.5,mtrat4,0.9790906048463118,Logistic
0.5,mtrat5,8.313872299156222,Asymptotic
0.5,mtrat6,0.999999932237942,Logistic_Mod
1,mtrat1,0.5747264272956999,Gaussian
1,mtrat2,NA,Gaussian Extended
1,mtrat3,4.558326969646335e-4,Log-normal
1,mtrat4,0.973338388438627,Logistic
1,mtrat5,6.953924720400734,Asymptotic
1,mtrat6,0.9999998375463628,Logistic_Mod
1.5,mtrat1,0.6543739090873566,Gaussian
1.5,mtrat2,NA,Gaussian Extended
1.5,mtrat3,0.012663899141804165,Log-normal
1.5,mtrat4,0.9660585833019144,Logistic
1.5,mtrat5,5.8167304952308365,Asymptotic
1.5,mtrat6,0.9999996105316067,Logistic_Mod
2,mtrat1,0.7322800861920542,Gaussian
2,mtrat2,NA,Gaussian Extended
2,mtrat3,0.0760077930688854,Log-normal
2,mtrat4,0.9568791273746529,Logistic
2,mtrat5,4.8658036168998295,Asymptotic
2,mtrat6,0.9999990662839449,Logistic_Mod
2.5,mtrat1,0.8054060997628563,Gaussian
2.5,mtrat2,NA,Gaussian Extended
2.5,mtrat3,0.22074067133611888,Log-normal
2.5,mtrat4,0.9453575082909844,Logistic
2.5,mtrat5,4.070634323987481,Asymptotic
2.5,mtrat6,0.9999977615003994,Logistic_Mod
3,mtrat1,0.8706408623533228,Gaussian
3,mtrat2,NA,Gaussian Extended
3,mtrat3,0.42753764444871395,Log-normal
3,mtrat4,0.9309794420496988,Logistic
3,mtrat5,3.405710218045207,Asymptotic
3,mtrat6,0.9999946334123568,Logistic_Mod
3.5,mtrat1,0.9250167984953092,Gaussian
3.5,mtrat2,NA,Gaussian Extended
