system:index,EVI,NDVI,date,label,.geo
1_1_LT05_199034_19860114_0,0.1097649439403387,0.30501036794136066,19860114,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19860114_1,,,19860114,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19860114_2,,,19860114,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19860114_3,,,19860114,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19860114_4,,,19860114,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19860114_5,,,19860114,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19860114_6,,,19860114,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19860114_7,,,19860114,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19860114_8,,,19860114,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19860114_9,,,19860114,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19860114_10,,,19860114,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19860114_11,0.09313007051111906,0.20802868391451074,19860114,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19860114_12,,,19860114,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19860303_0,0.1291893236663468,0.29482752264264567,19860303,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19860303_1,,,19860303,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19860303_2,,,19860303,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19860303_3,,,19860303,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19860303_4,,,19860303,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19860303_5,,,19860303,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19860303_6,,,19860303,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19860303_7,,,19860303,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19860303_8,,,19860303,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19860303_9,,,19860303,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19860303_10,,,19860303,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19860303_11,0.11152353061363485,0.21704204279589118,19860303,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19860303_12,,,19860303,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19860420_0,0.1432793838107482,0.2797519210516051,19860420,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19860420_1,,,19860420,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19860420_2,,,19860420,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19860420_3,,,19860420,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19860420_4,,,19860420,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19860420_5,,,19860420,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19860420_6,,,19860420,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19860420_7,,,19860420,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
1_1_LT05_199034_19860420_8,,,19860420,PISYL_PORTUGOS_L,"{""type"":""Point"",""coordinates"":[-3.3009300056300006,36.9560664917]}"
1_1_LT05_199034_19860420_9,,,19860420,PISYL_PORTUGOS_M,"{""type"":""Point"",""coordinates"":[-3.3036077849499996,36.9600170228]}"
1_1_LT05_199034_19860420_10,,,19860420,PISYL_PORTUGOS_H,"{""type"":""Point"",""coordinates"":[-3.3132139944999994,36.96597766679999]}"
1_1_LT05_199034_19860420_11,0.1460853808026435,0.2595755671301278,19860420,PIHAL_NACIMIENTO_L,"{""type"":""Point"",""coordinates"":[-2.6985399999999995,37.1101]}"
1_1_LT05_199034_19860420_12,,,19860420,PIHAL_RAGUA_H,"{""type"":""Point"",""coordinates"":[-3.0523200000000004,37.16982]}"
1_1_LT05_199034_19860623_0,0.14864878819483893,0.26264544647818416,19860623,PIHAL_NACIMIENTO_M,"{""type"":""Point"",""coordinates"":[-2.68648579006,37.0887117751]}"
1_1_LT05_199034_19860623_1,,,19860623,PINIG_LANTEIRA_M,"{""type"":""Point"",""coordinates"":[-3.1490168057199996,37.14335688760001]}"
1_1_LT05_199034_19860623_2,,,19860623,PINIG_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.14652,37.14837]}"
1_1_LT05_199034_19860623_3,,,19860623,PINIG_LANTEIRA_H,"{""type"":""Point"",""coordinates"":[-3.1469999999999994,37.132]}"
1_1_LT05_199034_19860623_4,,,19860623,PIPIN_LANTEIRA_L2,"{""type"":""Point"",""coordinates"":[-3.13756,37.15454]}"
1_1_LT05_199034_19860623_5,,,19860623,PIPIN_JEREZ_L,"{""type"":""Point"",""coordinates"":[-3.17767,37.18252999999999]}"
1_1_LT05_199034_19860623_6,,,19860623,PIPIN_JEREZ_M,"{""type"":""Point"",""coordinates"":[-3.1968052292599998,37.1608918758]}"
1_1_LT05_199034_19860623_7,,,19860623,PIPIN_JEREZ_H,"{""type"":""Point"",""coordinates"":[-3.1980000000000004,37.135000000000005]}"
