site_name,site_code,Specie,date,pies,elev,LAI,long,lat,radius_m,sp_code,elev_code,CODIGO_FAO,MIN_IGN,CODOM,CODIN,CODIGO,NOMDOM1,NOMDOM2,NOMDOM3,NOMINCL1,NOMINCL2,NOMINCL3,CODOM1,CODDOM2,CODDOM3,CODDIN1,CODIN2,CODIN3,DOMINAN,INCLUSIONE
NAC_HALEPENSIS,PIHAL_NACIMIENTO_M,Pinus_halepensis,2018-12-28T00:00:00Z,"41","1212","1.59",-2.68649,37.08871,10.00,halepensis,medium,,,,,,,,,,,,,,,,,,,
LANTEIRA_M,PINIG_LANTEIRA_M,Pinus_nigra,2018-05-10T00:00:00Z,"39","1646","1.84",-3.14902,37.14336,9.00,nigra,medium,CMeuRGeu/LPliRGle,"1011",CMeuRGeu,LPliRGle,1028_28,Cambisoles eútricos,Regosoles eútricos,,Leptosoles líticos,Regosoles lépticos,,CMeu,RGeu,,LPli,RGle,,"Cambisoles eútricos,Regosoles eútricos,","Leptosoles líticos,Regosoles lépticos,"
LANTEIRA_L2,PINIG_LANTEIRA_L2,Pinus_nigra,2021-10-27T00:00:00Z,"40","1585","1.29",-3.14652,37.14837,13.30,nigra,low,CMeuRGeu/LPliRGle,"1011",CMeuRGeu,LPliRGle,1028_28,Cambisoles eútricos,Regosoles eútricos,,Leptosoles líticos,Regosoles lépticos,,CMeu,RGeu,,LPli,RGle,,"Cambisoles eútricos,Regosoles eútricos,","Leptosoles líticos,Regosoles lépticos,"
LANTEIRA_H,PINIG_LANTEIRA_H,Pinus_nigra,2020-10-06T00:00:00Z,"41","1810","1.95",-3.14700,37.13200,8.90,nigra,high,RGeuRGle/CMeuLPliPHha,"1011",RGeuRGle,CMeuLPliPHha,1028_11,Regosoles eútricos,Regosoles lépticos,,Cambisoles eútricos,Leptosoles líticos,Phaeozems háplicos,RGeu,RGle,,CMeu,LPli,PHha,"Regosoles eútricos,Regosoles lépticos,","Cambisoles eútricos,Leptosoles líticos,Phaeozems háplicos"
LANTERIA_L2,PIPIN_LANTEIRA_L2,Pinus_pinaster,2021-10-27T00:00:00Z,"37","1433","1.08",-3.13756,37.15454,12.10,pinaster,low2,RGeuRGle/CMeuLPliPHha,"1011",RGeuRGle,CMeuLPliPHha,1028_11,Regosoles eútricos,Regosoles lépticos,,Cambisoles eútricos,Leptosoles líticos,Phaeozems háplicos,RGeu,RGle,,CMeu,LPli,PHha,"Regosoles eútricos,Regosoles lépticos,","Cambisoles eútricos,Leptosoles líticos,Phaeozems háplicos"
JEREZ_L,PIPIN_JEREZ_L,Pinus_pinaster,2021-10-26T00:00:00Z,"41","1353","1.48",-3.17767,37.18253,11.60,pinaster,low,CMeuRGeu/LPliRGle,"1011",CMeuRGeu,LPliRGle,1028_28,Cambisoles eútricos,Regosoles eútricos,,Leptosoles líticos,Regosoles lépticos,,CMeu,RGeu,,LPli,RGle,,"Cambisoles eútricos,Regosoles eútricos,","Leptosoles líticos,Regosoles lépticos,"
JEREZ_M,PIPIN_JEREZ_M,Pinus_pinaster,2018-05-09T00:00:00Z,"33","1605","1.73",-3.19681,37.16089,11.00,pinaster,medium,RGeu/CMeuPHleRGdy,"1027",RGeu,CMeuPHleRGdy,1042_22,Regosoles eútricos,,,Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos,RGeu,,,CMeu,PHle,RGdy,Regosoles eútricos,"Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos"
JEREZ_H,PIPIN_JEREZ_H,Pinus_pinaster,2020-10-06T00:00:00Z,"40","1770","1.94",-3.19800,37.13500,9.00,pinaster,high,CMeuRGeu/CMcrCMdyPHle,"1027",CMeuRGeu,CMcrCMdyPHle,1042_41,Cambisoles eútricos,Regosoles eútricos,,Cambisoles crómicos,Cambisoles dístricos,Phaeozems lépticos,CMeu,RGeu,,CMcr,CMdy,PHle,"Cambisoles eútricos,Regosoles eútricos,","Cambisoles crómicos,Cambisoles dístricos,Phaeozems lépticos"
PORTUGOS_L,PISYL_PORTUGOS_L,Pinus_sylvestris,2018-11-28T00:00:00Z,"37","1633","3.11",-3.30093,36.95607,13.00,sylvestris,low,RGeu/CMeuPHleRGdy,"1027",RGeu,CMeuPHleRGdy,1042_22,Regosoles eútricos,,,Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos,RGeu,,,CMeu,PHle,RGdy,Regosoles eútricos,"Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos"
PORTUGOS_M,PISYL_PORTUGOS_M,Pinus_sylvestris,2018-12-11T00:00:00Z,"47","1748","3.36",-3.30361,36.96002,9.00,sylvestris,medium,RGeu/CMeuPHleRGdy,"1027",RGeu,CMeuPHleRGdy,1042_22,Regosoles eútricos,,,Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos,RGeu,,,CMeu,PHle,RGdy,Regosoles eútricos,"Cambisoles eútricos,Phaeozems lépticos,Regosoles dístricos"
PORTUGOS_H,PISYL_PORTUGOS_H,Pinus_sylvestris,2018-11-28T00:00:00Z,"35","2000","3.63",-3.31321,36.96598,9.00,sylvestris,high,PHle/CMeuUMle,"1027",PHle,CMeuUMle,1042_25,Phaeozems lépticos,,,Cambisoles eútricos,Umbrisoles lépticos,,PHle,,,CMeu,UMle,,Phaeozems lépticos,"Cambisoles eútricos,Umbrisoles lépticos,"
NAC_HALEPENSIS_2,PIHAL_NACIMIENTO_L,Pinus_halepensis,2022-06-13T00:00:00Z,"41","974","1.33",-2.69854,37.11010,8.70,halepensis,low,,,,,,,,,,,,,,,,,,,
