DATA,spei_1,spei_3,spei_6,spei_9,spei_12,spei_24,spi_1,spi_3,spi_6,spi_9,spi_12,spi_24,duration_spei_1,duration_spei_3,duration_spei_6,duration_spei_9,duration_spei_12,duration_spei_24,intensity_spei_1,intensity_spei_3,intensity_spei_6,intensity_spei_9,intensity_spei_12,intensity_spei_24,duration_spi_1,duration_spi_3,duration_spi_6,duration_spi_9,duration_spi_12,duration_spi_24,intensity_spi_1,intensity_spi_3,intensity_spi_6,intensity_spi_9,intensity_spi_12,intensity_spi_24
1961-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-23,-0.11,,,,,,-0.61,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-01,-0.62,,,,,,-0.98,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-09,-0.84,,,,,,-1.14,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,
1961-02-16,-1.02,,,,,,-1.44,,,,,,0,,,,,,0,,,,,,1,,,,,,1.44,,,,,
1961-02-23,-1.36,,,,,,-2.43,,,,,,1,,,,,,1.36,,,,,,2,,,,,,3.87,,,,,
1961-03-01,-1.21,,,,,,-2.26,,,,,,0,,,,,,0,,,,,,3,,,,,,6.13,,,,,
1961-03-09,-1.09,,,,,,-2.02,,,,,,0,,,,,,0,,,,,,4,,,,,,8.15,,,,,
1961-03-16,-1.15,,,,,,-1.51,,,,,,0,,,,,,0,,,,,,5,,,,,,9.66,,,,,
1961-03-23,-1.04,-1.5,,,,,-1.29,-2.46,,,,,0,1,,,,,0,1.5,,,,,6,1,,,,,10.95,2.46,,,,
1961-04-01,-0.39,-1.39,,,,,-0.21,-2.03,,,,,0,2,,,,,0,2.89,,,,,0,2,,,,,0,4.49,,,,
1961-04-09,-0.3,-1.44,,,,,-0.09,-1.98,,,,,0,3,,,,,0,4.33,,,,,0,3,,,,,0,6.47,,,,
1961-04-16,-0.46,-1.64,,,,,-0.29,-2.25,,,,,0,4,,,,,0,5.97,,,,,0,4,,,,,0,8.72,,,,
1961-04-23,-0.65,-1.69,,,,,-0.38,-2.25,,,,,0,5,,,,,0,7.66,,,,,0,5,,,,,0,10.97,,,,
1961-05-01,-1.09,-1.58,,,,,-0.99,-2,,,,,0,6,,,,,0,9.24,,,,,0,6,,,,,0,12.97,,,,
1961-05-09,-1.05,-1.51,,,,,-1.02,-1.82,,,,,0,7,,,,,0,10.75,,,,,0,7,,,,,0,14.79,,,,
1961-05-16,-1.09,-1.59,,,,,-0.9,-1.62,,,,,0,8,,,,,0,12.34,,,,,0,8,,,,,0,16.41,,,,
1961-05-23,-0.15,-0.98,,,,,0.13,-0.94,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-01,0.47,-0.57,,,,,0.41,-0.57,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
1961-06-09,0.82,-0.43,,,,,0.7,-0.39,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,
