"","year","pie","RW","pie"
"1",1969,1,1.42,1
"2",1970,1,3.15,1
"3",1971,1,0.74,1
"4",1972,1,4.87,1
"5",1973,1,6.805,1
"6",1974,1,6.94,1
"7",1975,1,5.49,1
"8",1976,1,5.285,1
"9",1977,1,6.905,1
"10",1978,1,6.34,1
"11",1979,1,6.03,1
"12",1980,1,4.535,1
"13",1981,1,4.925,1
"14",1982,1,3.07,1
"15",1983,1,4.08,1
"16",1984,1,3.17,1
"17",1985,1,3.375,1
"18",1986,1,3.355,1
"19",1987,1,1.785,1
"20",1988,1,2.39,1
"21",1989,1,2.12,1
"22",1990,1,1.885,1
"23",1991,1,2.75,1
"24",1992,1,1.785,1
"25",1993,1,1.13,1
"26",1994,1,1.335,1
"27",1995,1,0.66,1
"28",1996,1,1.06,1
"29",1997,1,0.835,1
"30",1998,1,1.075,1
"31",1999,1,0.46,1
"32",2000,1,1.94,1
"33",2001,1,2.02,1
"34",2002,1,1.035,1
"35",2003,1,1.475,1
"36",2004,1,1.88,1
"37",2005,1,0.575,1
"38",2006,1,0.5,1
"39",2007,1,0.465,1
"40",2008,1,1.2,1
"41",2009,1,1.03,1
"42",2010,1,1.07,1
"43",2011,1,1.07,1
"44",2012,1,0.45,1
"45",2013,1,1.01,1
"46",2014,1,0.85,1
"47",2015,1,0.625,1
"48",2016,1,0.505,1
"49",2017,1,0.71,1
"50",2018,1,0.995,1
"51",1967,2,0.71,2
"52",1968,2,1.30666666666667,2
"53",1969,2,1.97,2
"54",1970,2,2.24333333333333,2
"55",1971,2,3.56333333333333,2
"56",1972,2,1.67333333333333,2
"57",1973,2,1.60333333333333,2
"58",1974,2,2.68333333333333,2
"59",1975,2,2.52666666666667,2
"60",1976,2,3.68,2
"61",1977,2,2.66333333333333,2
"62",1978,2,3.15,2
"63",1979,2,2.54,2
"64",1980,2,2.26666666666667,2
"65",1981,2,1.83666666666667,2
"66",1982,2,1.95666666666667,2
"67",1983,2,1.24666666666667,2
"68",1984,2,1.99333333333333,2
"69",1985,2,1.93,2
"70",1986,2,1.24666666666667,2
"71",1987,2,0.943333333333333,2
"72",1988,2,0.98,2
"73",1989,2,1.14,2
"74",1990,2,1.69,2
"75",1991,2,1,2
"76",1992,2,1.17,2
"77",1993,2,1.22,2
"78",1994,2,0.726666666666667,2
"79",1995,2,0.03,2
"80",1996,2,0.276666666666667,2
"81",1997,2,0.543333333333333,2
"82",1998,2,0.833333333333333,2
"83",1999,2,0.16,2
"84",2000,2,1.48,2
"85",2001,2,1.55666666666667,2
"86",2002,2,1.04,2
"87",2003,2,1.77666666666667,2
"88",2004,2,1.56,2
"89",2005,2,0.513333333333333,2
"90",2006,2,0.746666666666667,2
"91",2007,2,0.886666666666667,2
"92",2008,2,1.40333333333333,2
"93",2009,2,1,2
"94",2010,2,0.886666666666667,2
"95",2011,2,1.00333333333333,2
"96",2012,2,0.26,2
"97",2013,2,1.1,2
"98",2014,2,0.543333333333333,2
"99",2015,2,0.47,2
"100",2016,2,0.493333333333333,2
"101",2017,2,0.456666666666667,2
"102",2018,2,0.633333333333333,2
"103",1969,3,0.875,3
"104",1970,3,1.28,3
"105",1971,3,2.545,3
"106",1972,3,2.275,3
"107",1973,3,2.21,3
"108",1974,3,2.22,3
"109",1975,3,1.545,3
"110",1976,3,2.22,3
"111",1977,3,3.495,3
"112",1978,3,2.87,3
"113",1979,3,2.42,3
"114",1980,3,2.515,3
"115",1981,3,2.56,3
"116",1982,3,1.84,3
"117",1983,3,1.92,3
"118",1984,3,1.505,3
"119",1985,3,2.425,3
"120",1986,3,1.69,3
"121",1987,3,1.165,3
"122",1988,3,0.875,3
"123",1989,3,1.025,3
"124",1990,3,1.46,3
"125",1991,3,1.525,3
"126",1992,3,1.445,3
"127",1993,3,1.1,3
"128",1994,3,1.24,3
"129",1995,3,0.705,3
"130",1996,3,0.85,3
"131",1997,3,0.89,3
"132",1998,3,1.205,3
"133",1999,3,0.43,3
"134",2000,3,1.96,3
"135",2001,3,1.57,3
"136",2002,3,1.3,3
"137",2003,3,1.61,3
"138",2004,3,1.495,3
"139",2005,3,0.61,3
"140",2006,3,0.76,3
"141",2007,3,0.65,3
"142",2008,3,1.075,3
"143",2009,3,0.65,3
"144",2010,3,0.915,3
"145",2011,3,0.91,3
"146",2012,3,0.385,3
"147",2013,3,1.115,3
"148",2014,3,0.69,3
"149",2015,3,0.575,3
"150",2016,3,0.58,3
"151",2017,3,0.59,3
"152",2018,3,0.71,3
"153",1978,4,4.92,4
"154",1979,4,6.61,4
"155",1980,4,3.83,4
"156",1981,4,3.48,4
"157",1982,4,2.585,4
"158",1983,4,3.225,4
"159",1984,4,2.885,4
"160",1985,4,4.26,4
"161",1986,4,3.485,4
"162",1987,4,3.17,4
"163",1988,4,2.765,4
"164",1989,4,3.02,4
"165",1990,4,2.265,4
"166",1991,4,2.655,4
"167",1992,4,1.99,4
"168",1993,4,2.145,4
"169",1994,4,1.97,4
"170",1995,4,1.235,4
"171",1996,4,2.01,4
"172",1997,4,1.785,4
"173",1998,4,1.725,4
"174",1999,4,0.365,4
"175",2000,4,1.735,4
"176",2001,4,1.465,4
"177",2002,4,1.23,4
"178",2003,4,0.985,4
"179",2004,4,0.89,4
"180",2005,4,0.62,4
"181",2006,4,0.38,4
"182",2007,4,0.63,4
"183",2008,4,0.97,4
"184",2009,4,0.93,4
"185",2010,4,0.72,4
"186",2011,4,0.81,4
"187",2012,4,0.3,4
"188",2013,4,0.71,4
"189",2014,4,0.61,4
"190",2015,4,0.48,4
"191",2016,4,0.48,4
"192",2017,4,0.41,4
"193",2018,4,0.69,4
"194",1966,5,0.67,5
"195",1967,5,1.65,5
"196",1968,5,2.52,5
"197",1969,5,3.88,5
"198",1970,5,2.5,5
"199",1971,5,3.83,5
"200",1972,5,4.08,5
"201",1973,5,3.295,5
"202",1974,5,2.55,5
"203",1975,5,2.585,5
"204",1976,5,3.275,5
"205",1977,5,3.71,5
"206",1978,5,3.22,5
"207",1979,5,3.12,5
"208",1980,5,2.235,5
"209",1981,5,1.935,5
"210",1982,5,1.855,5
"211",1983,5,1.99,5
"212",1984,5,2.35,5
"213",1985,5,2.57,5
"214",1986,5,1.55,5
"215",1987,5,1.485,5
"216",1988,5,1.66,5
"217",1989,5,1.765,5
"218",1990,5,1.88,5
"219",1991,5,1.335,5
"220",1992,5,0.835,5
"221",1993,5,0.98,5
"222",1994,5,0.49,5
"223",1995,5,0.11,5
"224",1996,5,0.745,5
"225",1997,5,0.615,5
"226",1998,5,0.835,5
"227",1999,5,0.365,5
"228",2000,5,1.54,5
"229",2001,5,1.44,5
"230",2002,5,1.195,5
"231",2003,5,1.505,5
"232",2004,5,1.665,5
"233",2005,5,0.6,5
"234",2006,5,0.56,5
"235",2007,5,0.545,5
"236",2008,5,0.91,5
"237",2009,5,0.86,5
"238",2010,5,0.815,5
"239",2011,5,1.345,5
"240",2012,5,0.42,5
"241",2013,5,1.07,5
"242",2014,5,0.81,5
"243",2015,5,0.345,5
"244",2016,5,0.33,5
"245",2017,5,0.265,5
"246",2018,5,0.285,5
"247",1974,6,2.85,6
"248",1975,6,2.19,6
"249",1976,6,4.07,6
"250",1977,6,5.425,6
"251",1978,6,5.025,6
"252",1979,6,4.51,6
"253",1980,6,3.055,6
"254",1981,6,3.775,6
"255",1982,6,2.555,6
"256",1983,6,2.995,6
"257",1984,6,2.1,6
"258",1985,6,2.99,6
"259",1986,6,2.355,6
"260",1987,6,1.655,6
"261",1988,6,1.695,6
"262",1989,6,1.41,6
"263",1990,6,2.145,6
"264",1991,6,2.07,6
"265",1992,6,1.21,6
"266",1993,6,1.25,6
"267",1994,6,1.135,6
"268",1995,6,0.745,6
"269",1996,6,0.34,6
"270",1997,6,0.59,6
"271",1998,6,0.86,6
"272",1999,6,0.455,6
"273",2000,6,1.84,6
"274",2001,6,2.385,6
"275",2002,6,1.585,6
"276",2003,6,2.24,6
"277",2004,6,2.17,6
"278",2005,6,1.07,6
"279",2006,6,0.935,6
"280",2007,6,0.9,6
"281",2008,6,1.89,6
"282",2009,6,1.57,6
"283",2010,6,1.535,6
