"","year","pie","RW","pie"
"1",1971,1,1.08666666666667,1
"2",1972,1,1.18333333333333,1
"3",1973,1,2.24666666666667,1
"4",1974,1,2.27333333333333,1
"5",1975,1,2.06,1
"6",1976,1,1.55,1
"7",1977,1,1.91333333333333,1
"8",1978,1,2.6,1
"9",1979,1,2.88333333333333,1
"10",1980,1,1.51666666666667,1
"11",1981,1,3.97333333333333,1
"12",1982,1,2.9,1
"13",1983,1,2.84333333333333,1
"14",1984,1,2.82,1
"15",1985,1,3.72333333333333,1
"16",1986,1,4.48666666666667,1
"17",1987,1,4.82666666666667,1
"18",1988,1,4.31333333333333,1
"19",1989,1,5.40666666666667,1
"20",1990,1,3.75,1
"21",1991,1,3.75666666666667,1
"22",1992,1,4.11,1
"23",1993,1,3.86333333333333,1
"24",1994,1,3.62,1
"25",1995,1,0.783333333333333,1
"26",1996,1,2.69333333333333,1
"27",1997,1,6.24333333333333,1
"28",1998,1,5.11,1
"29",1999,1,3.68,1
"30",2000,1,4.90666666666667,1
"31",2001,1,4.69666666666667,1
"32",2002,1,3.92333333333333,1
"33",2003,1,3.52666666666667,1
"34",2004,1,4.10666666666667,1
"35",2005,1,2.44,1
"36",2006,1,3.42333333333333,1
"37",2007,1,2.75333333333333,1
"38",2008,1,3.93666666666667,1
"39",2009,1,2.34333333333333,1
"40",2010,1,2.80333333333333,1
"41",2011,1,3.10333333333333,1
"42",2012,1,1.45666666666667,1
"43",2013,1,3.19,1
"44",2014,1,3.05666666666667,1
"45",2015,1,1.87,1
"46",2016,1,2.20666666666667,1
"47",2017,1,1.76,1
"48",2018,1,2.26333333333333,1
"49",1973,2,0.68,2
"50",1974,2,0.9,2
"51",1975,2,1.87,2
"52",1976,2,1.4,2
"53",1977,2,1.52,2
"54",1978,2,1.48,2
"55",1979,2,0.97,2
"56",1980,2,0.84,2
"57",1981,2,2.03,2
"58",1982,2,2.95,2
"59",1983,2,2.91,2
"60",1984,2,2.62,2
"61",1985,2,2.705,2
"62",1986,2,2.64,2
"63",1987,2,3.31,2
"64",1988,2,2.665,2
"65",1989,2,2.27,2
"66",1990,2,1.915,2
"67",1991,2,1.975,2
"68",1992,2,2.75,2
"69",1993,2,2.015,2
"70",1994,2,1.885,2
"71",1995,2,0.185,2
"72",1996,2,1.94,2
"73",1997,2,1.62,2
"74",1998,2,2.145,2
"75",1999,2,1.585,2
"76",2000,2,1.975,2
"77",2001,2,1.6,2
"78",2002,2,0.99,2
"79",2003,2,1.005,2
"80",2004,2,1.4,2
"81",2005,2,0.59,2
"82",2006,2,1.025,2
"83",2007,2,0.77,2
"84",2008,2,0.745,2
"85",2009,2,0.67,2
"86",2010,2,1.115,2
"87",2011,2,0.955,2
"88",2012,2,0.49,2
"89",2013,2,0.935,2
"90",2014,2,0.76,2
"91",2015,2,0.65,2
"92",2016,2,0.59,2
"93",2017,2,0.59,2
"94",2018,2,1.09,2
"95",1982,3,4.32,3
"96",1983,3,3.5,3
"97",1984,3,2.865,3
"98",1985,3,2.685,3
"99",1986,3,3.98,3
"100",1987,3,5.98,3
"101",1988,3,4.29,3
"102",1989,3,3.90666666666667,3
"103",1990,3,3.98666666666667,3
"104",1991,3,3.45666666666667,3
"105",1992,3,3.96,3
"106",1993,3,3.77,3
"107",1994,3,3.1,3
"108",1995,3,0.45,3
"109",1996,3,3.01666666666667,3
"110",1997,3,4.62,3
"111",1998,3,3.71333333333333,3
"112",1999,3,1.61666666666667,3
"113",2000,3,2.58666666666667,3
"114",2001,3,2.56333333333333,3
"115",2002,3,2.12333333333333,3
"116",2003,3,2.44,3
"117",2004,3,2.35333333333333,3
"118",2005,3,1.29,3
"119",2006,3,1.74333333333333,3
"120",2007,3,1.37,3
"121",2008,3,1.71666666666667,3
"122",2009,3,1.30666666666667,3
"123",2010,3,1.84666666666667,3
"124",2011,3,1.78333333333333,3
"125",2012,3,0.983333333333333,3
"126",2013,3,1.36333333333333,3
"127",2014,3,1.12666666666667,3
"128",2015,3,0.786666666666667,3
"129",2016,3,1.09666666666667,3
"130",2017,3,0.98,3
"131",2018,3,1.305,3
"132",1977,4,2.91,4
"133",1978,4,1.23,4
"134",1979,4,1.25,4
"135",1980,4,0.98,4
"136",1981,4,2.03,4
"137",1982,4,3.64,4
"138",1983,4,4.765,4
"139",1984,4,3.92,4
"140",1985,4,3.67,4
"141",1986,4,3.34,4
"142",1987,4,4.825,4
"143",1988,4,4.155,4
"144",1989,4,3.57,4
"145",1990,4,3.425,4
"146",1991,4,2.7,4
"147",1992,4,2.83,4
"148",1993,4,2.495,4
"149",1994,4,1.925,4
"150",1995,4,0.25,4
"151",1996,4,2.06,4
