"","year","pie","RW","pie"
"1",1961,1,2.155,1
"2",1962,1,4.015,1
"3",1963,1,5.19,1
"4",1964,1,8.745,1
"5",1965,1,7.53,1
"6",1966,1,9.28,1
"7",1967,1,6.57,1
"8",1968,1,4.52,1
"9",1969,1,6.435,1
"10",1970,1,5.965,1
"11",1971,1,5.435,1
"12",1972,1,4.345,1
"13",1973,1,5.19,1
"14",1974,1,3.59,1
"15",1975,1,3.265,1
"16",1976,1,2.15,1
"17",1977,1,3.565,1
"18",1978,1,5.79,1
"19",1979,1,5.18,1
"20",1980,1,3.07,1
"21",1981,1,1.6,1
"22",1982,1,2.085,1
"23",1983,1,1.19,1
"24",1984,1,1.695,1
"25",1985,1,2.445,1
"26",1986,1,2.54,1
"27",1987,1,1.32,1
"28",1988,1,1.205,1
"29",1989,1,1.08,1
"30",1990,1,1.4,1
"31",1991,1,0.91,1
"32",1992,1,0.72,1
"33",1993,1,0.415,1
"34",1994,1,0.28,1
"35",1995,1,0.24,1
"36",1996,1,0.74,1
"37",1997,1,1.515,1
"38",1998,1,2.19,1
"39",1999,1,0.52,1
"40",2000,1,1.09,1
"41",2001,1,1.595,1
"42",2002,1,1.215,1
"43",2003,1,0.985,1
"44",2004,1,1.255,1
"45",2005,1,0.105,1
"46",2006,1,0.465,1
"47",2007,1,0.49,1
"48",2008,1,0.95,1
"49",2009,1,0.605,1
"50",2010,1,1.055,1
"51",2011,1,1.74,1
"52",2012,1,0.515,1
"53",2013,1,1.43,1
"54",2014,1,1.025,1
"55",2015,1,1.225,1
"56",2016,1,0.545,1
"57",2017,1,0.435,1
"58",1959,2,0.965,2
"59",1960,2,0.825,2
"60",1961,2,1.625,2
"61",1962,2,2.3,2
"62",1963,2,4.68,2
"63",1964,2,5.745,2
"64",1965,2,3.46,2
"65",1966,2,7.105,2
"66",1967,2,4.845,2
"67",1968,2,3.69,2
"68",1969,2,6.185,2
"69",1970,2,5.76,2
"70",1971,2,4.76,2
"71",1972,2,3.245,2
"72",1973,2,2.9,2
"73",1974,2,3.18,2
"74",1975,2,3.245,2
"75",1976,2,2.46,2
"76",1977,2,4.16,2
"77",1978,2,6.51,2
"78",1979,2,6.28,2
"79",1980,2,2.375,2
"80",1981,2,0.985,2
"81",1982,2,2.855,2
"82",1983,2,1.03,2
"83",1984,2,2.06,2
"84",1985,2,4.565,2
