"","year","pie","RW","pie"
"1",1972,1,7.255,1
"2",1973,1,7.23,1
"3",1974,1,5.59,1
"4",1975,1,4.5,1
"5",1976,1,4.09,1
"6",1977,1,3.01,1
"7",1978,1,3.67,1
"8",1979,1,3.68,1
"9",1980,1,3.01,1
"10",1981,1,1.45,1
"11",1982,1,1.79,1
"12",1983,1,1.345,1
"13",1984,1,1.845,1
"14",1985,1,1.825,1
"15",1986,1,1.37,1
"16",1987,1,1.02,1
"17",1988,1,1.31,1
"18",1989,1,1.44,1
"19",1990,1,2.06,1
"20",1991,1,1.095,1
"21",1992,1,1.25,1
"22",1993,1,1.335,1
"23",1994,1,0.49,1
"24",1995,1,0.8,1
"25",1996,1,1.8,1
"26",1997,1,2.24,1
"27",1998,1,0.96,1
"28",1999,1,0.4,1
"29",2000,1,1.2,1
"30",2001,1,0.885,1
"31",2002,1,1.11,1
"32",2003,1,1.225,1
"33",2004,1,1.15,1
"34",2005,1,0.345,1
"35",2006,1,0.73,1
"36",2007,1,1.065,1
"37",2008,1,0.455,1
"38",2009,1,1.245,1
"39",2010,1,1.035,1
"40",2011,1,0.845,1
"41",2012,1,0.19,1
"42",2013,1,0.41,1
"43",2014,1,0.305,1
"44",2015,1,0.375,1
"45",2016,1,0.24,1
"46",2017,1,0.755,1
"47",2018,1,0.615,1
"48",2019,1,0.38,1
"49",2020,1,0.915,1
"50",2021,1,0.715,1
"51",1970,2,4.24,2
"52",1971,2,3.51,2
"53",1972,2,3.495,2
"54",1973,2,2.85,2
"55",1974,2,3.12,2
"56",1975,2,2.6,2
"57",1976,2,2.71,2
"58",1977,2,2.27,2
"59",1978,2,2.99,2
"60",1979,2,3.05,2
"61",1980,2,2.23,2
"62",1981,2,1.025,2
"63",1982,2,1.705,2
"64",1983,2,1.035,2
"65",1984,2,2.28,2
"66",1985,2,2.305,2
"67",1986,2,1.495,2
"68",1987,2,0.86,2
"69",1988,2,1.315,2
"70",1989,2,1.895,2
"71",1990,2,2.495,2
"72",1991,2,1.445,2
"73",1992,2,1.04,2
"74",1993,2,1.03,2
"75",1994,2,0.375,2
"76",1995,2,0.35,2
"77",1996,2,1.29,2
"78",1997,2,1.36,2
"79",1998,2,1.36,2
"80",1999,2,0.31,2
"81",2000,2,1.005,2
"82",2001,2,0.755,2
"83",2002,2,1.215,2
"84",2003,2,1.47,2
"85",2004,2,1.405,2
"86",2005,2,0.28,2
"87",2006,2,0.635,2
"88",2007,2,1,2
"89",2008,2,0.365,2
"90",2009,2,1.43,2
"91",2010,2,2.225,2
"92",2011,2,2.175,2
"93",2012,2,0.38,2
"94",2013,2,0.73,2
"95",2014,2,0.335,2
"96",2015,2,0.465,2
"97",2016,2,0.195,2
"98",2017,2,0.42,2
"99",2018,2,0.46,2
"100",2019,2,0.34,2
"101",2020,2,0.715,2
"102",2021,2,0.82,2
"103",1973,3,3.95,3
"104",1974,3,3.625,3
"105",1975,3,3.395,3
"106",1976,3,4.55,3
"107",1977,3,2.67,3
"108",1978,3,3.1,3
"109",1979,3,2.68,3
"110",1980,3,3.34,3
"111",1981,3,1.9,3
"112",1982,3,1.47,3
"113",1983,3,1.96,3
"114",1984,3,2.67,3
"115",1985,3,2.55,3
"116",1986,3,1.82,3
"117",1987,3,1.505,3
"118",1988,3,2.12,3
"119",1989,3,1.94,3
"120",1990,3,1.965,3
"121",1991,3,1.425,3
"122",1992,3,1.46,3
"123",1993,3,1.015,3
"124",1994,3,0.505,3
"125",1995,3,0.82,3
"126",1996,3,1.58,3
"127",1997,3,1.455,3
"128",1998,3,1.495,3
"129",1999,3,0.345,3
"130",2000,3,1.535,3
"131",2001,3,1.245,3
"132",2002,3,1.345,3
"133",2003,3,1.34,3
"134",2004,3,1.25,3
"135",2005,3,0.25,3
"136",2006,3,0.73,3
"137",2007,3,0.955,3
"138",2008,3,0.415,3
"139",2009,3,1.135,3
"140",2010,3,1.27,3
"141",2011,3,1.62,3
"142",2012,3,0.19,3
"143",2013,3,0.37,3
"144",2014,3,0.235,3
"145",2015,3,0.385,3
"146",2016,3,0.13,3
"147",2017,3,0.545,3
"148",2018,3,0.56,3
"149",2019,3,0.44,3
"150",2020,3,1.105,3
"151",2021,3,0.71,3
"152",1971,4,4.79,4
"153",1972,4,3.99,4
"154",1973,4,4.505,4
"155",1974,4,3.725,4
"156",1975,4,3.255,4
"157",1976,4,3.05,4
"158",1977,4,2.69,4
"159",1978,4,3.075,4
"160",1979,4,2.01,4
"161",1980,4,2.315,4
"162",1981,4,1.155,4
"163",1982,4,1.81,4
"164",1983,4,1.27,4
"165",1984,4,1.975,4
"166",1985,4,1.635,4
"167",1986,4,1.975,4
"168",1987,4,1.525,4
"169",1988,4,2.04,4
"170",1989,4,1.94,4
"171",1990,4,2.515,4
"172",1991,4,1.18,4
"173",1992,4,1.525,4
"174",1993,4,1.24,4
"175",1994,4,0.365,4
"176",1995,4,0.415,4
"177",1996,4,1.135,4
"178",1997,4,1.97,4
"179",1998,4,2.185,4
"180",1999,4,0.495,4
"181",2000,4,1.57,4
"182",2001,4,1.175,4
"183",2002,4,1.305,4
"184",2003,4,1.21,4
"185",2004,4,1.38,4
"186",2005,4,0.25,4
"187",2006,4,0.85,4
"188",2007,4,1.08,4
"189",2008,4,0.495,4
"190",2009,4,1.315,4
"191",2010,4,1.685,4
"192",2011,4,2.41,4
"193",2012,4,0.32,4
"194",2013,4,0.635,4
"195",2014,4,0.59,4
"196",2015,4,0.725,4
"197",2016,4,0.375,4
"198",2017,4,0.87,4
"199",2018,4,1.195,4
"200",2019,4,0.845,4
"201",2020,4,1.335,4
"202",2021,4,1.365,4
"203",1970,5,5.29,5
"204",1971,5,4.975,5
"205",1972,5,4.72,5
"206",1973,5,4.495,5
"207",1974,5,4.56,5
"208",1975,5,3.73,5
"209",1976,5,2.975,5
"210",1977,5,2.595,5
"211",1978,5,3.28,5
"212",1979,5,3.01,5
"213",1980,5,2.82,5
"214",1981,5,1.455,5
"215",1982,5,0.985,5
"216",1983,5,0.99,5
"217",1984,5,1.22,5
"218",1985,5,1.28,5
"219",1986,5,0.585,5
"220",1987,5,0.405,5
"221",1988,5,0.62,5
"222",1989,5,1.23,5
"223",1990,5,1.41,5
"224",1991,5,0.82,5
"225",1992,5,1.27,5
"226",1993,5,1.29,5
"227",1994,5,0.345,5
"228",1995,5,0.25,5
"229",1996,5,0.655,5
"230",1997,5,1.135,5
"231",1998,5,0.97,5
"232",1999,5,0.295,5
"233",2000,5,0.895,5
"234",2001,5,0.475,5
"235",2002,5,0.53,5
"236",2003,5,0.73,5
"237",2004,5,0.81,5
"238",2005,5,0.155,5
"239",2006,5,0.475,5
"240",2007,5,0.765,5
"241",2008,5,0.2,5
"242",2009,5,0.86,5
"243",2010,5,0.745,5
"244",2011,5,0.6,5
"245",2012,5,0.2,5
"246",2013,5,0.62,5
"247",2014,5,0.36,5
"248",2015,5,0.45,5
"249",2016,5,0.26,5
"250",2017,5,0.45,5
"251",2018,5,0.5,5
"252",2019,5,0.25,5
"253",2020,5,0.8,5
"254",2021,5,0.36,5
"255",1969,6,2.445,6
"256",1970,6,2.54,6
"257",1971,6,3.195,6
"258",1972,6,3.3,6
"259",1973,6,3.47,6
"260",1974,6,3.24,6
"261",1975,6,3.05,6
"262",1976,6,3.1,6
"263",1977,6,1.875,6
"264",1978,6,2.79,6
"265",1979,6,2.195,6
"266",1980,6,2.535,6
"267",1981,6,1.37,6
"268",1982,6,1.27,6
"269",1983,6,1.105,6
"270",1984,6,1.32,6
"271",1985,6,1.455,6
"272",1986,6,1.005,6
"273",1987,6,0.735,6
"274",1988,6,1.145,6
"275",1989,6,1.76,6
"276",1990,6,1.74,6
"277",1991,6,0.97,6
"278",1992,6,0.835,6
"279",1993,6,0.85,6
"280",1994,6,0.275,6
"281",1995,6,0.425,6
"282",1996,6,0.71,6
"283",1997,6,0.465,6
"284",1998,6,0.725,6
"285",1999,6,0.145,6
"286",2000,6,0.965,6
"287",2001,6,0.525,6
"288",2002,6,0.99,6
"289",2003,6,0.56,6
"290",2004,6,0.395,6
"291",2005,6,0.13,6
"292",2006,6,0.325,6
"293",2007,6,0.63,6
"294",2008,6,0.22,6
"295",2009,6,1.095,6
"296",2010,6,1.2,6
"297",2011,6,0.865,6
"298",2012,6,0.1,6
"299",2013,6,0.13,6
"300",2014,6,0.13,6
"301",2015,6,0.17,6
"302",2016,6,0.12,6
"303",2017,6,0.39,6
"304",2018,6,0.22,6
"305",1969,7,2.175,7
"306",1970,7,2.365,7
"307",1971,7,3.33,7
"308",1972,7,3.495,7
"309",1973,7,3.785,7
"310",1974,7,4.045,7
"311",1975,7,3.185,7
"312",1976,7,3.115,7
"313",1977,7,2.21,7
"314",1978,7,3.21,7
"315",1979,7,3.05,7
"316",1980,7,2.325,7
"317",1981,7,1.14,7
"318",1982,7,1.24,7
"319",1983,7,0.975,7
"320",1984,7,1.675,7
"321",1985,7,1.49,7
"322",1986,7,1.15,7
"323",1987,7,1.155,7
"324",1988,7,1.315,7
"325",1989,7,1.79,7
"326",1990,7,2.29,7
