"","year","pie","RW","pie"
"1",1966,1,2,1
"2",1967,1,2.89,1
"3",1968,1,1.41,1
"4",1969,1,4.54,1
"5",1970,1,2.745,1
"6",1971,1,4.45,1
"7",1972,1,5.26,1
"8",1973,1,5.96,1
"9",1974,1,5.725,1
"10",1975,1,5.105,1
"11",1976,1,6.36,1
"12",1977,1,6.995,1
"13",1978,1,6.23,1
"14",1979,1,5.835,1
"15",1980,1,6.015,1
"16",1981,1,4.445,1
"17",1982,1,5.455,1
"18",1983,1,3.77,1
"19",1984,1,3.995,1
"20",1985,1,1.905,1
"21",1986,1,1.21,1
"22",1987,1,1.49,1
"23",1988,1,1.865,1
"24",1989,1,2.29,1
"25",1990,1,2.355,1
"26",1991,1,1.6,1
"27",1992,1,1.48,1
"28",1993,1,1.44,1
"29",1994,1,1.21,1
"30",1995,1,0.4,1
"31",1996,1,1.4,1
"32",1997,1,0.93,1
"33",1998,1,1.74,1
"34",1999,1,0.9,1
"35",2000,1,2.21,1
"36",2001,1,2.335,1
"37",2002,1,1.225,1
"38",2003,1,1.45,1
"39",2004,1,1.775,1
"40",2005,1,0.515,1
"41",2006,1,0.695,1
"42",2007,1,0.47,1
"43",2008,1,0.58,1
"44",2009,1,0.48,1
"45",2010,1,0.74,1
"46",2011,1,0.94,1
"47",2012,1,0.38,1
"48",2013,1,1.065,1
"49",2014,1,0.46,1
"50",2015,1,0.695,1
"51",2016,1,0.575,1
"52",2017,1,0.64,1
"53",2018,1,0.585,1
"54",1967,2,1.34,2
"55",1968,2,2.06,2
"56",1969,2,3.54,2
"57",1970,2,1.13,2
"58",1971,2,2.88,2
"59",1972,2,3.815,2
"60",1973,2,3.83,2
"61",1974,2,3.725,2
"62",1975,2,3.255,2
"63",1976,2,4.195,2
"64",1977,2,4.055,2
"65",1978,2,4.555,2
"66",1979,2,3.71,2
"67",1980,2,3.475,2
"68",1981,2,3.48,2
"69",1982,2,3.335,2
"70",1983,2,2.395,2
"71",1984,2,2.46,2
"72",1985,2,1.755,2
"73",1986,2,1.08,2
"74",1987,2,0.88,2
"75",1988,2,1.555,2
"76",1989,2,1.825,2
"77",1990,2,1.8,2
"78",1991,2,1.465,2
"79",1992,2,1.36,2
"80",1993,2,1.205,2
"81",1994,2,1.055,2
"82",1995,2,0.49,2
"83",1996,2,0.945,2
"84",1997,2,0.86,2
"85",1998,2,1.58,2
"86",1999,2,1.255,2
"87",2000,2,1.625,2
"88",2001,2,1.56,2
"89",2002,2,1.07,2
"90",2003,2,1.04,2
"91",2004,2,0.835,2
"92",2005,2,0.31,2
"93",2006,2,0.445,2
"94",2007,2,0.52,2
"95",2008,2,0.66,2
"96",2009,2,0.365,2
"97",2010,2,0.39,2
"98",2011,2,0.6,2
"99",2012,2,0.225,2
"100",2013,2,0.715,2
"101",2014,2,0.475,2
"102",2015,2,0.595,2
"103",2016,2,0.41,2
"104",2017,2,0.435,2
"105",2018,2,0.325,2
"106",1966,3,1.56,3
"107",1967,3,2.93,3
"108",1968,3,3.37,3
"109",1969,3,4.76,3
"110",1970,3,2.375,3
"111",1971,3,2.505,3
