year,RW,tree,core,sp_elev,sampleid
1965,2.39,12,C,sylvestris_med,PM12C
1965,0.8,23,B,sylvestris_med,PM23B
1965,0.81,23,C,sylvestris_med,PM23C
1965,1.81,37,A,sylvestris_med,PM37A
1965,1.7,37,B,sylvestris_med,PM37B
1965,1.52,42,A,sylvestris_med,PM42A
1965,1.82,42,B,sylvestris_med,PM42B
1966,0.61,5,A,sylvestris_med,PM05A
1966,0.73,5,B,sylvestris_med,PM05B
1966,1.03,12,A,sylvestris_med,PM12A
1966,2.12,12,C,sylvestris_med,PM12C
1966,1.25,13,A,sylvestris_med,PM13A
1966,1.1,13,B,sylvestris_med,PM13B
1966,0.96,15,B,sylvestris_med,PM15B
1966,1.15,19,A,sylvestris_med,PM19A
1966,1.42,19,B,sylvestris_med,PM19B
1966,1.71,20,A,sylvestris_med,PM20A
1966,1.75,20,B,sylvestris_med,PM20B
1966,1.18,23,B,sylvestris_med,PM23B
1966,1.01,23,C,sylvestris_med,PM23C
1966,0.66,32,A,sylvestris_med,PM32A
1966,0.69,32,B,sylvestris_med,PM32B
1966,0.77,36,A,sylvestris_med,PM36A
1966,0.6,36,B,sylvestris_med,PM36B
1966,2.32,37,A,sylvestris_med,PM37A
1966,1.8,37,B,sylvestris_med,PM37B
1966,1.5,42,A,sylvestris_med,PM42A
1966,1.45,42,B,sylvestris_med,PM42B
1967,0.8,2,A,sylvestris_med,PM02A
1967,0.62,2,B,sylvestris_med,PM02B
1967,1.69,5,A,sylvestris_med,PM05A
1967,1.61,5,B,sylvestris_med,PM05B
1967,2.21,7,A,sylvestris_med,PM07A
1967,2.11,7,B,sylvestris_med,PM07B
1967,0.6,11,A,sylvestris_med,PM11A
1967,0.46,11,C,sylvestris_med,PM11C
1967,1.18,12,A,sylvestris_med,PM12A
1967,1.37,12,C,sylvestris_med,PM12C
1967,2.36,13,A,sylvestris_med,PM13A
1967,2.44,13,B,sylvestris_med,PM13B
1967,0.94,15,A,sylvestris_med,PM15A
1967,2.1,15,B,sylvestris_med,PM15B
1967,1.06,15,C,sylvestris_med,PM15C
