Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.8373	5	477.9175	477.6746	0.9907052	0.415505	
Model:	mcombrat4
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.6783371	0.2306346	1	2.582614	0	1	1	
OTmed	5.037629	5	7.084995	21.22872	5	20	15	
Tb	4.395706	2.772895	5	7.134839	0.01	5	4.99	
Popt	798.4475	300	1000	1345.263	300	1000	700	
Pb	1.046379	0.3348413	5	1.691852	0	5	5	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
prec	prec	
tmed	tmed	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	Tb	Popt	Pb
MR	6.669893	-52.21528	12.79691	-794.0918	0.03555959	
OTmed	-52.21528	450.6586	-131.8991	5678.932	-0.4386079	
Tb	12.79691	-131.8991	50.90593	-145.7768	0.0464534	
Popt	-794.0918	5678.932	-145.7768	1809734	1692.142	
Pb	0.03555959	-0.4386079	0.0464534	1692.142	2.862363	

Source data
rat	tmed	prec	predicted	
0.4759616	11.81506	559.2	0.1950188	
0.3003152	11.736	635.5	0.2074315	
0.3938742	11.01136	759.1	0.2690902	
0.3736255	10.63505	561.4	0.2849273	
0.1600306	10.74701	308.2	0.1929305	
0.1650547	10.92373	499.1	0.2502074	
0.1405044	10.65338	426.4	0.2506056	
0.2793442	10.13953	728.2	0.3445403	
0.2575962	11.37159	889.7	0.2389222	
0.2420352	10.44594	1428.5	0.272659	
0.2945809	10.68331	609.9	0.2876411	
0.1342082	10.97178	552.5	0.2563374	
0.2948654	10.09672	584.9	0.3346567	
0.1885472	10.88113	484	0.250036	
0.1472617	11.48234	368.1	0.1761031	
0.1241091	10.91439	590.5	0.2662366	
0.1573864	11.61667	368.8	0.1685342	
0.2249388	9.9215	1022.5	0.355842	
0.6260474	10.40382	555.4	0.3031797	
0.4121322	10.34639	631.3	0.3189909	
0.5715017	9.428958	758.4	0.4113443	
0.5446219	9.050484	565.1	0.4234283	
0.4744601	9.207542	312.2	0.2891729	
0.5349582	9.288868	502.9	0.3854385	
0.3405907	8.983948	437	0.384042	
0.5210497	8.392047	716.7	0.5042875	
0.4548816	9.816253	887.9	0.3737507	
0.5954203	8.801879	1421.6	0.4038378	
0.5923556	8.94437	601.7	0.4406031	
0.4001922	9.426972	561.4	0.3893324	
0.4739078	8.407901	576.1	0.4815778	
0.4527148	9.156835	494.8	0.3938633	
0.4141188	9.872912	359.5	0.2769602	
0.4945938	9.220841	619.1	0.4187449	
0.4601859	10.06176	364.9	0.2667885	
0.5061606	8.12988	1009.9	0.5164628	
0.1543426	15.39656	208.4	0.01852174	
0.1832787	15.09243	217.7	0.02292642	
0.1523323	14.97087	213.4	0.02383864	
0.3161728	14.6502	319	0.0422743	
0.1251806	14.48524	101.8	0.00970561	
0.08662605	15.12706	260.6	0.02746615	
0.1073976	14.68435	167.7	0.02007608	
0.1177354	14.63184	256.5	0.03477372	
0.1325189	15.36337	325.7	0.02976822	
0.4343702	14.5268	436.6	0.05587797	
0.2418193	15.04664	203.2	0.02158693	
0.01669328	15.13608	207.8	0.02118506	
0.1009567	14.43493	181.3	0.02529998	
0.03109615	15.50237	142.9	0.01031955	
0.1053782	15.65799	223.7	0.01749029	
0.1208357	15.34972	283	0.02648622	
0.1397098	15.58787	140.1	0.009547425	
0.08104308	14.57152	337.8	0.04604612	
0.04561179	15.32993	104.8	0.006655727	
0.09793627	15.80108	199.5	0.01406141	
0.06287278	15.51106	240	0.02051835	
0.1351467	16.53306	303.7	0.01448984	
0.09732386	13.31781	361.6	0.08639646	
0.1655779	13.11083	330.5	0.08803882	
0.1609994	12.85564	327.3	0.09701191	
0.1874337	12.68337	348.6	0.1092138	
0.0406339	12.70888	144.9	0.03912598	
0.07405498	12.9846	327.7	0.09213193	
0.05920739	12.51785	332.5	0.1123123	
0.03349928	12.51045	265.6	0.09196071	
0.09358744	13.48725	358.1	0.07971949	
0.1480221	12.65853	484.3	0.1346408	
0.1508633	12.93468	330.9	0.09477896	
0.04389473	12.90525	290	0.08558107	
0.1161283	12.39118	215.9	0.0766501	
0.04617053	13.19346	222.2	0.05746904	
0.07283431	13.34513	214.1	0.05155351	
0.03174495	13.01616	274	0.07747996	
0.08635824	13.70839	171.4	0.03288517	
0.08286346	12.15359	395.5	0.1460487	
0.07499991	13.21725	204.7	0.05153616	
0.07621066	13.56741	275.8	0.06161517	
0.04650233	13.33447	196.6	0.04658939	
0.07267583	14.66723	254.4	0.03387581	
0.1684874	14.31136	202.9	0.03109753	
0.1775987	14.03289	222.2	0.03959462	
0.1766173	13.75783	199	0.03926802	
0.2561497	13.44531	323.2	0.0749567	
0.08581704	13.29281	107.3	0.01847953	
0.08165883	13.85621	266.1	0.05224337	
0.1181447	13.40368	171.8	0.03773663	
0.1629166	13.29086	260.9	0.06573851	
0.1210237	14.15875	320.7	0.0538854	
0.1912346	13.24589	436.9	0.100499	
0.1455412	13.70181	203.9	0.04152124	
0.02651434	13.9476	211.9	0.03892879	
0.05568562	13.13108	176.2	0.0439006	
0.03503488	14.17628	142.3	0.0200878	
0.05777684	14.40997	229.5	0.03435525	
0.02008387	14.03355	296	0.05329552	
0.07143941	14.3783	143.1	0.0183995	
0.06278213	13.19144	331.5	0.08531567	
0.1573845	13.22271	366.4	0.09082408	
0.09247242	13.00417	344.7	0.09511902	
0.1796374	12.71884	354.1	0.1089595	
0.1271469	12.64827	327.9	0.1055429	
0.04003083	12.66909	147.1	0.04068779	
0.1220973	12.90435	370.9	0.104562	
0.05457975	12.35925	318.7	0.1152717	
0.09209923	12.24473	298.7	0.1137573	
0.08777828	13.21941	476.6	0.1062527	
0.147539	12.50525	561.7	0.1514296	
0.1625557	12.83743	271.4	0.0825693	
0.04442081	13.05593	276.6	0.07691806	
0.1986661	12.1365	382	0.1436517	
0.08226787	13.12328	258.1	0.06978799	
0.07064392	13.41941	213.9	0.04986988	
0.03355328	13.12578	313.9	0.0838308	
0.07154471	13.75114	200	0.03963754	
0.09808652	12.33429	448.9	0.1470078	
0.04748416	13.37264	267.3	0.06504421	
0.1259869	13.44884	321.5	0.07451522	
0.05763474	13.45395	199.8	0.04516153	
0.1068164	12.74955	359.4	0.1088179	
0.1348452	12.55089	335.1	0.1115719	
0.149858	12.19674	348.1	0.1314532	
0.1437259	12.10822	338	0.1327573	
0.04349623	12.14503	141.1	0.04655676	
0.09018941	12.34522	353.4	0.1257654	
0.07338176	11.82288	322.3	0.1415221	
0.04840161	11.73981	285.4	0.1308372	
0.1039761	12.75106	446.3	0.1246532	
0.1173053	11.96879	541	0.1826007	
0.1305473	12.25463	292.8	0.1113051	
0.03379989	12.49898	277.9	0.09657919	
0.1174534	11.61853	326.3	0.1534362	
0.05003962	12.56447	252.3	0.08541678	
0.09789741	12.8414	218.7	0.065234	
0.03536019	12.54195	304.8	0.1034293	
0.04882452	13.19164	199.1	0.05031365	
0.07868437	11.68466	445.6	0.1851155	
0.04198474	12.74521	252.4	0.07957569	
0.09480179	12.92051	323.4	0.09356431	
0.07480113	12.89171	202.2	0.05809075	
0.26936	12.25136	360.2	0.1321197	
0.189034	12.06719	341.6	0.1358785	
0.3093132	11.65683	355.5	0.1618867	
0.2482097	11.55707	326.3	0.1566667	
0.04001177	11.61297	147.8	0.06043139	
0.1178683	11.78407	362.9	0.1572629	
0.0556492	11.27962	322	0.1698335	
0.1127203	11.05442	335.5	0.1885857	
0.1548122	12.19787	532	0.1669466	
