Note: [none]
Total # of Iterations:	1e+06	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-233.6294	6	479.6002	479.2587	0.999973	0.5058091	
Model:	mcombrat7
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.7188548	0.2515992	1	1.510553	0	1	0.003105355	
b	0.2	0	0.2	0.5724033	0	0.2	0.007573167	
k	-1.318557	-2	-0.2064451	4.08058	-2	2	0.01705849	
t0	9.481229	0	10.83829	4.961414	0	20	0.01081341	
Popt	717.6047	300	1000	1138.904	300	1000	8.224045	
Pb	1.155821	0.3120716	5	2.018835	0	5	0.01377744	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
prec	prec	
tmed	tmed	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	b	k	t0	Popt	Pb
MR	2.28177	-0.7650809	5.285382	-7.246004	-169.125	-0.3965756	
b	-0.7650809	0.3276455	-2.076017	2.395218	132.904	-0.01757988	
k	5.285382	-2.076017	16.65113	-17.73931	-277.2382	-0.410314	
t0	-7.246004	2.395218	-17.73931	24.61563	619.962	1.151742	
Popt	-169.125	132.904	-277.2382	619.962	1297102	1484.599	
Pb	-0.3965756	-0.01757988	-0.410314	1.151742	1484.599	4.075693	

Source data
rat	tmed	prec	predicted	
0.4759616	11.81506	559.2	0.1652138	
0.3003152	11.736	635.5	0.1708073	
0.3938742	11.01136	759.1	0.211019	
0.3736255	10.63505	561.4	0.2413543	
0.1600306	10.74701	308.2	0.1798355	
0.1650547	10.92373	499.1	0.2079436	
0.1405044	10.65338	426.4	0.221219	
0.2793442	10.13953	728.2	0.3137805	
0.2575962	11.37159	889.7	0.1844787	
0.2420352	10.44594	1428.5	0.2258287	
0.2945809	10.68331	609.9	0.2392054	
0.1342082	10.97178	552.5	0.2090234	
0.2948654	10.09672	584.9	0.3156633	
0.1885472	10.88113	484	0.2096583	
0.1472617	11.48234	368.1	0.154148	
0.1241091	10.91439	590.5	0.2161704	
0.1573864	11.61667	368.8	0.1493174	
0.2249388	9.9215	1022.5	0.3340683	
0.6260474	10.40382	555.4	0.2685293	
0.4121322	10.34639	631.3	0.2813114	
0.5715017	9.428958	758.4	0.4407135	
0.5446219	9.050484	565.1	0.500045	
0.4744601	9.207542	312.2	0.3724188	
0.5349582	9.288868	502.9	0.4459792	
0.3405907	8.983948	437	0.4763987	
0.5210497	8.392047	716.7	0.6083564	
0.4548816	9.816253	887.9	0.362609	
0.5954203	8.801879	1421.6	0.4635265	
0.5923556	8.94437	601.7	0.5229294	
0.4001922	9.426972	561.4	0.4317455	
0.4739078	8.407901	576.1	0.5956269	
0.4527148	9.156835	494.8	0.4670901	
0.4141188	9.872912	359.5	0.2999411	
