Note: [none]
Total # of Iterations:	50000	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.2815	4	-192.4017	-192.563	1.009348	0.2810366	
Model:	mprecrat5
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9856115	0	1	6.503497	0	1	1	
Pa	0.3496883	0.2	0.7459626	2.307397	0.2	0.8	0.6	
Pb	3.773868	0.01	5	15.30827	0.01	5	4.99	
Pc	0.004656475	1e-04	0.01	0.0160198	1e-04	0.01	0.0099	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	Pa	Pb	Pc
MR	42.29547	-14.638	-5.539351	-0.008801405	
Pa	-14.638	5.324079	-1.965324	-0.003122679	
Pb	-5.539351	-1.965324	234.343	0.2261924	
Pc	-0.008801405	-0.003122679	0.2261924	0.0002566338	

Source data
rat	prec	predicted	
0.4759616	559.2	0.2606925	
0.3003152	635.5	0.2833925	
0.3938742	759.1	0.3087334	
0.3736255	561.4	0.2614354	
0.1600306	308.2	0.1403369	
0.1650547	499.1	0.2382154	
0.1405044	426.4	0.2052775	
0.2793442	728.2	0.3035191	
0.2575962	889.7	0.3246119	
0.2420352	1428.5	0.3429808	
0.2945809	609.9	0.2764569	
0.1342082	552.5	0.2583961	
0.2948654	584.9	0.2690327	
0.1885472	484	0.2318913	
0.1472617	368.1	0.1746429	
0.1241091	590.5	0.2707535	
0.1573864	368.8	0.1750296	
0.2249388	1022.5	0.3337072	
0.6260474	555.4	0.2593964	
0.4121322	631.3	0.2822992	
0.5715017	758.4	0.3086225	
0.5446219	565.1	0.2626725	
0.4744601	312.2	0.1426832	
0.5349582	502.9	0.2397637	
0.3405907	437	0.2104649	
0.5210497	716.7	0.3014043	
0.4548816	887.9	0.3244482	
0.5954203	1421.6	0.3429262	
0.5923556	601.7	0.2740945	
0.4001922	561.4	0.2614354	
0.4739078	576.1	0.2662595	
0.4527148	494.8	0.2364425	
0.4141188	359.5	0.1698588	
0.4945938	619.1	0.279025	
0.4601859	364.9	0.1728696	
0.5061606	1009.9	0.3330568	
0.1543426	208.4	0.08247747	
0.1832787	217.7	0.08763066	
0.1523323	213.4	0.08523694	
0.3161728	319	0.1466596	
0.1251806	101.8	0.0328962	
0.08662605	260.6	0.1122915	
0.1073976	167.7	0.06119868	
0.1177354	256.5	0.1098903	
0.1325189	325.7	0.1505597	
0.4343702	436.6	0.2102714	
0.2418193	203.2	0.07963681	
0.01669328	207.8	0.08214814	
0.1009567	181.3	0.06804637	
0.03109615	142.9	0.04952832	
0.1053782	223.7	0.09100017	
0.1208357	283	0.1254839	
0.1397098	140.1	0.04828326	
0.08104308	337.8	0.1575483	
0.04561179	104.8	0.0339859	
