Note: [none]
Total # of Iterations:	50000	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
187.0872	4	-366.0131	-366.1744	0.716872	-0.08816491	
Model:	mt1
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.3295023	0.2998471	0.3596172	0.05884153	0	1	0.08055333	
OTmed	8.121205	7.552721	8.758781	1.588118	5	20	1.47445	
b	4.999948	4.600752	5	0.8095796	0.01	5	4.99	
scale	0.25	0.25	0.255	NaN	0.25	10	2.6624	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	b	scale
MR	0.003462325	-0.08840364	0.02548841	-0.00012785	
OTmed	-0.08840364	2.52212	-1.026652	-0.01340483	
b	0.02548841	-1.026652	0.6554192	0.003521351	
scale	-0.00012785	-0.01340483	0.003521351	-0.001189884	

Source data
rat	tmed	predicted	
0.4759616	11.81506	0.2508075	
0.3003152	11.736	0.2537229	
0.3938742	11.01136	0.2788069	
0.3736255	10.63505	0.2903806	
0.1600306	10.74701	0.2870576	
0.1650547	10.92373	0.2816026	
0.1405044	10.65338	0.2898439	
0.2793442	10.13953	0.3037208	
0.2575962	11.37159	0.2667411	
0.2420352	10.44594	0.2957438	
0.2945809	10.68331	0.2889612	
0.1342082	10.97178	0.2800768	
0.2948654	10.09672	0.304761	
0.1885472	10.88113	0.2829403	
0.1472617	11.48234	0.2628633	
0.1241091	10.91439	0.2818973	
0.1573864	11.61667	0.2580652	
0.2249388	9.9215	0.3088206	
0.6260474	10.40382	0.2968938	
0.4121322	10.34639	0.2984351	
0.5715017	9.428958	0.3184222	
0.5446219	9.050484	0.3238601	
0.4744601	9.207542	0.3218161	
0.5349582	9.288868	0.3206384	
0.3405907	8.983948	0.3246334	
0.5210497	8.392047	0.3290192	
0.4548816	9.816253	0.3111012	
0.5954203	8.801879	0.326463	
0.5923556	8.94437	0.3250669	
0.4001922	9.426972	0.3184552	
0.4739078	8.407901	0.328961	
0.4527148	9.156835	0.3225094	
0.4141188	9.872912	0.3098885	
0.4945938	9.220841	0.321629	
0.4601859	10.06176	0.3055967	
0.5061606	8.12988	0.3295018	
0.1543426	15.39656	0.1143134	
0.1832787	15.09243	0.1246615	
0.1523323	14.97087	0.1289218	
0.3161728	14.6502	0.1404724	
0.1251806	14.48524	0.1465766	
0.08662605	15.12706	0.1234608	
0.1073976	14.68435	0.1392216	
0.1177354	14.63184	0.1411464	
0.1325189	15.36337	0.1154205	
0.4343702	14.5268	0.145029	
0.2418193	15.04664	0.1262585	
0.01669328	15.13608	0.1231487	
0.1009567	14.43493	0.1484584	
0.03109615	15.50237	0.1108225	
0.1053782	15.65799	0.1057945	
0.1208357	15.34972	0.1158774	
0.1397098	15.58787	0.1080441	
0.08104308	14.57152	0.1433707	
0.04561179	15.32993	0.1165415	
0.09793627	15.80108	0.1012862	
0.06287278	15.51106	0.1105384	
0.1351467	16.53306	0.08002717	
0.09732386	13.31781	0.1919967	
0.1655779	13.11083	0.2002658	
0.1609994	12.85564	0.2104558	
0.1874337	12.68337	0.2173063	
0.0406339	12.70888	0.2162942	
0.07405498	12.9846	0.2053101	
0.05920739	12.51785	0.2238477	
0.03349928	12.51045	0.224139	
0.09358744	13.48725	0.1852457	
0.1480221	12.65853	0.2182907	
0.1508633	12.93468	0.2073032	
0.04389473	12.90525	0.2084777	
0.1161283	12.39118	0.2288169	
0.04617053	13.19346	0.1969633	
0.07283431	13.34513	0.1909065	
0.03174495	13.01616	0.2040494	
0.08635824	13.70839	0.1764853	
0.08286346	12.15359	0.2380245	
0.07499991	13.21725	0.1960124	
0.07621066	13.56741	0.182062	
0.04650233	13.33447	0.1913319	
0.07267583	14.66723	0.1398481	
0.1684874	14.31136	0.1531178	
0.1775987	14.03289	0.1637939	
0.1766173	13.75783	0.1745375	
0.2561497	13.44531	0.1869142	
0.08581704	13.29281	0.1929944	
0.08165883	13.85621	0.1706753	
0.1181447	13.40368	0.1885723	
0.1629166	13.29086	0.1930725	
0.1210237	14.15875	0.1589405	
0.1912346	13.24589	0.1948685	
0.1455412	13.70181	0.1767447	
0.02651434	13.9476	0.1671066	
0.05568562	13.13108	0.1994564	
0.03503488	14.17628	0.158268	
0.05777684	14.40997	0.1493954	
0.02008387	14.03355	0.1637684	
0.07143941	14.3783	0.1505871	
0.06278213	13.19144	0.1970438	
0.1573845	13.22271	0.1957943	
0.09247242	13.00417	0.2045281	
0.1796374	12.71884	0.2158988	
0.1271469	12.64827	0.2186972	
0.04003083	12.66909	0.2178726	
0.1220973	12.90435	0.2085136	
0.05457975	12.35925	0.2300633	
0.09209923	12.24473	0.2345121	
0.08777828	13.21941	0.1959264	
0.147539	12.50525	0.2243433	
0.1625557	12.83743	0.2111817	
0.04442081	13.05593	0.2024602	
0.1986661	12.1365	0.23868	
0.08226787	13.12328	0.1997683	
0.07064392	13.41941	0.1879455	
0.03355328	13.12578	0.1996684	
0.07154471	13.75114	0.1748007	
0.09808652	12.33429	0.2310362	
0.04748416	13.37264	0.1898092	
0.1259869	13.44884	0.1867735	
0.05763474	13.45395	0.1865702	
0.1068164	12.74955	0.2146788	
0.1348452	12.55089	0.222546	
0.149858	12.19674	0.236365	
0.1437259	12.10822	0.2397629	
0.04349623	12.14503	0.2383531	
0.09018941	12.34522	0.2306104	
0.07338176	11.82288	0.2505177	
0.04840161	11.73981	0.2535832	
0.1039761	12.75106	0.2146188	
0.1173053	11.96879	0.2450591	
0.1305473	12.25463	0.234129	
0.03379989	12.49898	0.2245899	
0.1174534	11.61853	0.2579981	
0.05003962	12.56447	0.22201	
0.09789741	12.8414	0.2110236	
0.03536019	12.54195	0.2228984	
0.04882452	13.19164	0.197036	
0.07868437	11.68466	0.2556002	
0.04198474	12.74521	0.2148512	
0.09480179	12.92051	0.2078686	
0.07480113	12.89171	0.2090177	
0.26936	12.25136	0.2342554	
0.189034	12.06719	0.241329	
0.3093132	11.65683	0.256612	
0.2482097	11.55707	0.2602064	
0.04001177	11.61297	0.2581986	
0.1178683	11.78407	0.2519538	
0.0556492	11.27962	0.2699041	
0.1127203	11.05442	0.2774124	
0.1548122	12.19787	0.2363211	
0.2486419	11.4048	0.265586	
0.3110653	11.72189	0.2542399	
0.0837598	11.98467	0.2444597	
0.228604	11.00224	0.2791007	
0.1205257	11.95345	0.2456372	
0.1291197	12.41273	0.227974	
0.06625869	11.93446	0.2463514	
0.09849051	12.7014	0.2165911	
0.5828131	11.36156	0.2670888	
0.3738774	11.2134	0.2721479	
0.5811849	10.68792	0.2888247	
0.5059657	10.54402	0.2930021	
0.07626182	10.63039	0.2905166	
0.2310098	10.73044	0.2875563	
0.1078383	10.28368	0.3000819	
0.1626592	9.905245	0.3091807	
0.29091	11.18799	0.273001	
0.4185128	10.32817	0.2989174	
