Note: [none]
Total # of Iterations:	50000	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.3732	4	-192.5851	-192.7464	1.008361	0.3831878	
Model:	mt2
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9984882	0	1	5.305259	0	1	1	
OTmed	5	5	7.1	NaN	5	20	15	
b	2.76074	1	4.221474	NaN	1	5	4	
a	1.5	2.5	1.5	NaN	2.5	1.5	-2.955994e+292	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
10	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	b	a
MR	28.14578	-43.27339	-40.45971	-19.03365	
OTmed	-43.27339	-969.5555	979.1324	332.6155	
b	-40.45971	979.1324	-743.5209	-234.5253	
a	-19.03365	332.6155	-234.5253	-71.30681	

Source data
rat	tmed	predicted	
0.4759616	11.81506	0.1435926	
0.3003152	11.736	0.1485065	
0.3938742	11.01136	0.2002774	
0.3736255	10.63505	0.2323333	
0.1600306	10.74701	0.2224054	
0.1650547	10.92373	0.2074115	
0.1405044	10.65338	0.230685	
0.2793442	10.13953	0.2803965	
0.2575962	11.37159	0.1729763	
0.2420352	10.44594	0.249873	
0.2945809	10.68331	0.2280125	
0.1342082	10.97178	0.2034752	
0.2948654	10.09672	0.2848713	
0.1885472	10.88113	0.210951	
0.1472617	11.48234	0.1652155	
0.1241091	10.91439	0.208184	
0.1573864	11.61667	0.1561849	
0.2249388	9.9215	0.3037356	
0.6260474	10.40382	0.2539132	
0.4121322	10.34639	0.2595016	
0.5715017	9.428958	0.3615011	
0.5446219	9.050484	0.4106213	
0.4744601	9.207542	0.3897448	
0.5349582	9.288868	0.3792083	
0.3405907	8.983948	0.419673	
0.5210497	8.392047	0.5053634	
0.4548816	9.816253	0.3154903	
0.5954203	8.801879	0.4450601	
0.5923556	8.94437	0.4251151	
0.4001922	9.426972	0.3617482	
0.4739078	8.407901	0.5029537	
0.4527148	9.156835	0.3964091	
0.4141188	9.872912	0.3091226	
0.4945938	9.220841	0.3880089	
0.4601859	10.06176	0.2885651	
0.5061606	8.12988	0.5460325	
0.1543426	15.39656	0.02584868	
0.1832787	15.09243	0.03030815	
0.1523323	14.97087	0.03227751	
0.3161728	14.6502	0.03803816	
0.1251806	14.48524	0.04134766	
0.08662605	15.12706	0.0297675	
0.1073976	14.68435	0.03738334	
0.1177354	14.63184	0.03839426	
0.1325189	15.36337	0.02630461	
0.4343702	14.5268	0.04049041	
0.2418193	15.04664	0.03103693	
0.01669328	15.13608	0.02962798	
0.1009567	14.43493	0.04240708	
0.03109615	15.50237	0.02444291	
0.1053782	15.65799	0.02250141	
0.1208357	15.34972	0.02649425	
0.1397098	15.58787	0.02335813	
0.08104308	14.57152	0.03958567	
0.04561179	15.32993	0.02677136	
0.09793627	15.80108	0.02084146	
0.06287278	15.51106	0.02433061	
0.1351467	16.53306	0.01397151	
0.09732386	13.31781	0.07306889	
0.1655779	13.11083	0.0805109	
0.1609994	12.85564	0.09058422	
0.1874337	12.68337	0.09798289	
0.0406339	12.70888	0.09685571	
0.07405498	12.9846	0.08536566	
0.05920739	12.51785	0.1055731	
0.03349928	12.51045	0.1059239	
0.09358744	13.48725	0.06743056	
0.1480221	12.65853	0.09909108	
0.1508633	12.93468	0.08735401	
0.04389473	12.90525	0.08854516	
0.1161283	12.39118	0.1117148	
0.04617053	13.19346	0.0774645	
0.07283431	13.34513	0.07213276	
0.03174495	13.01616	0.08412881	
0.08635824	13.70839	0.0606475	
0.08286346	12.15359	0.1240525	
0.07499991	13.21725	0.07660602	
0.07621066	13.56741	0.06489845	
0.04650233	13.33447	0.07249683	
0.07267583	14.66723	0.03771034	
0.1684874	14.31136	0.04511304	
0.1775987	14.03289	0.05178294	
0.1766173	13.75783	0.05921594	
0.2561497	13.44531	0.06878942	
0.08581704	13.29281	0.07393454	
0.08165883	13.85621	0.05645551	
0.1181447	13.40368	0.07016203	
0.1629166	13.29086	0.07400263	
0.1210237	14.15875	0.04866686	
0.1912346	13.24589	0.07558393	
0.1455412	13.70181	0.06084019	
0.02651434	13.9476	0.05399398	
0.05568562	13.13108	0.07975492	
0.03503488	14.17628	0.04824632	
0.05777684	14.40997	0.0429417	
0.02008387	14.03355	0.05176618	
0.07143941	14.3783	0.04362852	
0.06278213	13.19144	0.07753759	
0.1573845	13.22271	0.07641017	
0.09247242	13.00417	0.08459657	
0.1796374	12.71884	0.09641862	
0.1271469	12.64827	0.09955215	
0.04003083	12.66909	0.09861894	
0.1220973	12.90435	0.08858174	
0.05457975	12.35925	0.1133097	
0.09209923	12.24473	0.1191906	
0.08777828	13.21941	0.07652877	
0.147539	12.50525	0.1061705	
0.1625557	12.83743	0.09134312	
0.04442081	13.05593	0.08259221	
0.1986661	12.1365	0.1249824	
0.08226787	13.12328	0.0800455	
0.07064392	13.41941	0.0696405	
0.03355328	13.12578	0.0799523	
0.07154471	13.75114	0.05940783	
0.09808652	12.33429	0.1145704	
0.04748416	13.37264	0.07120068	
0.1259869	13.44884	0.06867396	
0.05763474	13.45395	0.06850745	
0.1068164	12.74955	0.09508157	
0.1348452	12.55089	0.1040193	
0.149858	12.19674	0.1217305	
0.1437259	12.10822	0.1265344	
0.04349623	12.14503	0.1245177	
0.09018941	12.34522	0.1140169	
0.07338176	11.82288	0.1431142	
0.04840161	11.73981	0.1482667	
0.1039761	12.75106	0.0950163	
0.1173053	11.96879	0.1344239	
0.1305473	12.25463	0.1186723	
0.03379989	12.49898	0.1064691	
0.1174534	11.61853	0.1560628	
0.05003962	12.56447	0.1033859	
0.09789741	12.8414	0.09117739	
0.03536019	12.54195	0.1044378	
0.04882452	13.19164	0.07753054	
0.07868437	11.68466	0.1517714	
0.04198474	12.74521	0.09526944	
0.09480179	12.92051	0.08792566	
0.07480113	12.89171	0.08909757	
0.26936	12.25136	0.118843	
0.189034	12.06719	0.1288148	
0.3093132	11.65683	0.1535653	
0.2482097	11.55707	0.1601405	
0.04001177	11.61297	0.156428	
0.1178683	11.78407	0.1455024	
0.0556492	11.27962	0.1796434	
0.1127203	11.05442	0.1968446	
0.1548122	12.19787	0.1216697	
0.2486419	11.4048	0.1706186	
0.3110653	11.72189	0.1493976	
0.0837598	11.98467	0.1335051	
0.228604	11.00224	0.2010112	
0.1205257	11.95345	0.1353163	
0.1291197	12.41273	0.1106489	
0.06625869	11.93446	0.1364278	
0.09849051	12.7014	0.09718509	
0.5828131	11.36156	0.1736939	
0.3738774	11.2134	0.1845712	
0.5811849	10.68792	0.2276034	
0.5059657	10.54402	0.2406539	
0.07626182	10.63039	0.2327541	
0.2310098	10.73044	0.2238542	
0.1078383	10.28368	0.2657085	
0.1626592	9.905245	0.3055302	
0.29091	11.18799	0.1864904	
0.4185128	10.32817	0.2612934	
0.478777	10.55143	0.2399683	
0.2128957	10.89882	0.2094761	
0.4040281	9.824873	0.3145155	
0.197504	10.75392	0.221804	
0.2710632	11.31034	0.1773941	
0.1525367	10.71864	0.2248894	
0.1960562	11.61003	0.1566219	
0.3262517	10.01994	0.2930297	
0.138568	11.08017	0.1948136	
0.2202332	11.42356	0.1692986	
0.1085746	12.07944	0.1281302	
0.1229677	11.90305	0.1382834	
0.1445175	11.48727	0.1648768	
0.127417	11.36707	0.1732995	
0.04128587	11.44162	0.1680353	
0.09253699	11.5831	0.1584032	
0.09946053	11.09165	0.1939132	
0.0596355	10.91769	0.2079107	
0.1932361	12.02929	0.1309514	
0.2550653	11.21354	0.1845606	
0.237985	11.43551	0.168462	
0.07283805	11.72606	0.1491339	
0.1092085	10.77581	0.2199057	
0.06899374	11.70423	0.1505195	
0.09069465	12.07968	0.1281168	
0.04204381	11.67049	0.1526822	
0.1004605	12.4234	0.1101242	
0.0970911	10.83334	0.2149781	
0.06027039	11.95002	0.1355163	
0.1406959	12.1936	0.121898	
0.1143764	12.11509	0.1261561	
0.07969127	11.77294	0.1461939	
0.0690587	11.61888	0.1560403	
0.09859162	11.17159	0.1877382	
0.06142529	11.03588	0.1983169	
0.01988913	11.13217	0.1907633	
0.0460038	11.23782	0.1827417	
0.03301357	10.76736	0.2206368	
0.02011435	10.55713	0.2394421	
0.09045893	11.71132	0.1500684	
0.1403275	10.87116	0.2117864	
0.1341438	11.06629	0.1959059	
0.02887239	11.36616	0.1733642	
0.04479617	10.40011	0.2542711	
0.02434118	11.3142	0.1771133	
0.05118988	11.72756	0.149039	
0.02165737	11.268	0.1805006	
0.06356096	12.07103	0.1285998	
0.3170893	11.36243	0.1736316	
0.2377955	11.21471	0.1844724	
0.3464311	10.70226	0.2263333	
0.2816574	10.55819	0.2393441	
0.09565752	10.65748	0.2303176	
0.1990407	10.74932	0.2222043	
0.1211196	10.27977	0.2660994	
0.1466144	10.04482	0.2903675	
0.2626483	11.26267	0.1808949	
0.3644781	10.39393	0.2548688	
0.283016	10.56176	0.2390144	
0.1164069	10.91	0.2085471	
0.2163242	9.910485	0.3049508	
0.1126222	10.81058	0.2169172	
0.2184333	11.25379	0.1815529	
0.1012387	10.75417	0.2217821	
0.1816787	11.60485	0.1569629	
0.1813105	9.91548	0.3043993	
0.1076421	11.08597	0.194358	
0.2435312	11.4141	0.1699629	
0.1752625	11.99493	0.132914	
0.121445	11.90282	0.138297	
0.1414086	11.21308	0.1845952	
0.1390418	10.82874	0.2153694	
0.08112583	10.92854	0.2070149	
0.08830946	11.12806	0.1910809	
0.07755052	10.84717	0.2138072	
0.1060988	10.35224	0.2589274	
0.1035995	11.56453	0.1596412	
0.1193004	10.65089	0.2309078	
0.147881	10.90389	0.209054	
0.09275033	11.18644	0.1866081	
0.1607469	10.31331	0.2627621	
0.1034699	11.10675	0.1927343	
0.1036026	11.68766	0.151579	
0.07726855	11.13128	0.1908323	
0.09549652	11.82421	0.143033	
0.0982538	10.1593	0.2783472	

Likelihood History
Iteration	Temperature	Likelihood
0	10	95.78948	
0.5	10	99.12502	
0.75	10	99.71321	
1.75	10	100.0948	
7.25	10	100.3457	
7.5	10	100.3457	
80.75	10	100.361	
97.25	10	100.3624	
187.25	10	100.3712	
442.25	10	100.3722	
1694.25	10	100.3724	
1694.75	10	100.3725	
1967.75	10	100.3731	
2000	9.75	100.3731	
3000	9.75	100.3731	
3202.75	9.75	100.3732	
6000	9.50625	100.3732	
7000	9.50625	100.3732	
8000	9.268594	100.3732	
9000	9.268594	100.3732	
10000	9.036879	100.3732	
11000	9.036879	100.3732	
12000	8.810957	100.3732	
13000	8.810957	100.3732	
14000	8.590683	100.3732	
15000	8.590683	100.3732	
16000	8.375916	100.3732	
16805	8.375916	100.3732	
19000	8.375916	100.3732	
20000	8.166518	100.3732	
21000	8.166518	100.3732	
23000	8.166518	100.3732	
24000	7.962355	100.3732	
25000	7.962355	100.3732	
26000	7.763296	100.3732	
28000	7.569214	100.3732	
29000	7.569214	100.3732	
31000	7.569214	100.3732	
32000	7.379983	100.3732	
33000	7.379983	100.3732	
34000	7.195484	100.3732	
35000	7.195484	100.3732	
37000	7.195484	100.3732	
38000	7.015597	100.3732	
39000	7.015597	100.3732	
40000	6.840207	100.3732	
41000	6.840207	100.3732	
42000	6.669202	100.3732	
44000	6.502472	100.3732	
45000	6.502472	100.3732	
46000	6.33991	100.3732	
49000	6.33991	100.3732	
50000	6.181412	100.3732	
