Note: [none]
Total # of Iterations:	50000	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.3843	3	-194.6722	-194.7686	1.017812	0.395379	
Model:	mt3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9997264	0	1	3.412962	0	1	1	
OTmed	5.050957	5	6.246881	9.908125	5	20	15	
b	0.4327818	0.01	0.592395	0.7355222	0.01	5	4.99	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	b
MR	11.64831	-29.21937	1.637484	
OTmed	-29.21937	98.17094	-6.860166	
b	1.637484	-6.860166	0.5409929	

Source data
rat	tmed	predicted	
0.4759616	11.81506	0.1454274	
0.3003152	11.736	0.1499077	
0.3938742	11.01136	0.1975625	
0.3736255	10.63505	0.2275832	
0.1600306	10.74701	0.2182389	
0.1650547	10.92373	0.2042064	
0.1405044	10.65338	0.2260288	
0.2793442	10.13953	0.2734489	
0.2575962	11.37159	0.1723186	
0.2420352	10.44594	0.2441985	
0.2945809	10.68331	0.2235111	
0.1342082	10.97178	0.2005381	
0.2948654	10.09672	0.2777737	
0.1885472	10.88113	0.2075104	
0.1472617	11.48234	0.1651909	
0.1241091	10.91439	0.2049271	
0.1573864	11.61667	0.156921	
0.2249388	9.9215	0.2961095	
0.6260474	10.40382	0.2480455	
0.4121322	10.34639	0.253379	
0.5715017	9.428958	0.3533095	
0.5446219	9.050484	0.4031846	
0.4744601	9.207542	0.3818509	
0.5349582	9.288868	0.3711598	
0.3405907	8.983948	0.412496	
0.5210497	8.392047	0.5023873	
0.4548816	9.816253	0.3076203	
0.5954203	8.801879	0.4388054	
0.5923556	8.94437	0.4181119	
0.4001922	9.426972	0.3535576	
0.4739078	8.407901	0.4998189	
0.4527148	9.156835	0.3886395	
0.4141188	9.872912	0.3013765	
0.4945938	9.220841	0.380086	
0.4601859	10.06176	0.2813507	
0.5061606	8.12988	0.5460519	
0.1543426	15.39656	0.03627957	
0.1832787	15.09243	0.04080947	
0.1523323	14.97087	0.04277714	
0.3161728	14.6502	0.04844156	
0.1251806	14.48524	0.05164511	
0.08662605	15.12706	0.04026604	
0.1073976	14.68435	0.0478037	
0.1177354	14.63184	0.04878785	
0.1325189	15.36337	0.03674804	
0.4343702	14.5268	0.05081838	
0.2418193	15.04664	0.04153973	
0.01669328	15.13608	0.04012557	
0.1009567	14.43493	0.05266405	
0.03109615	15.50237	0.03482647	
0.1053782	15.65799	0.03279606	
0.1208357	15.34972	0.0369425	
0.1397098	15.58787	0.03369557	
0.08104308	14.57152	0.04994357	
0.04561179	15.32993	0.03722627	
0.09793627	15.80108	0.03103565	
0.06287278	15.51106	0.03470979	
0.1351467	16.53306	0.02342769	
0.09732386	13.31781	0.0813043	
0.1655779	13.11083	0.08811321	
0.1609994	12.85564	0.09728959	
0.1874337	12.68337	0.1040111	
0.0406339	12.70888	0.1029878	
0.07405498	12.9846	0.09254028	
0.05920739	12.51785	0.110898	
0.03349928	12.51045	0.1112162	
0.09358744	13.48725	0.07612151	
0.1480221	12.65853	0.105017	
0.1508633	12.93468	0.09435085	
0.04389473	12.90525	0.09543488	
0.1161283	12.39118	0.116468	
0.04617053	13.19346	0.0853297	
0.07283431	13.34513	0.08044544	
0.03174495	13.01616	0.0914133	
0.08635824	13.70839	0.06984944	
0.08286346	12.15359	0.1276607	
0.07499991	13.21725	0.08454443	
0.07621066	13.56741	0.07378545	
0.04650233	13.33447	0.08077953	
0.07267583	14.66723	0.04812241	
0.1684874	14.31136	0.05525375	
0.1775987	14.03289	0.06156953	
0.1766173	13.75783	0.06851943	
0.2561497	13.44531	0.07737284	
0.08581704	13.29281	0.08209799	
0.08165883	13.85621	0.06594758	
0.1181447	13.40368	0.07863532	
0.1629166	13.29086	0.0821604	
0.1210237	14.15875	0.05862973	
0.1912346	13.24589	0.08360895	
0.1455412	13.70181	0.07002828	
0.02651434	13.9476	0.06364537	
0.05568562	13.13108	0.08742291	
0.03503488	14.17628	0.05823161	
0.05777684	14.40997	0.05317714	
0.02008387	14.03355	0.06155376	
0.07143941	14.3783	0.05383522	
0.06278213	13.19144	0.08539655	
0.1573845	13.22271	0.08436522	
0.09247242	13.00417	0.09183957	
0.1796374	12.71884	0.1025909	
0.1271469	12.64827	0.1054355	
0.04003083	12.66909	0.1045885	
0.1220973	12.90435	0.09546816	
0.05457975	12.35925	0.1179144	
0.09209923	12.24473	0.1232488	
0.08777828	13.21941	0.08447375	
0.147539	12.50525	0.1114399	
0.1625557	12.83743	0.09797959	
0.04442081	13.05593	0.09001236	
0.1986661	12.1365	0.1285048	
0.08226787	13.12328	0.08768827	
0.07064392	13.41941	0.0781558	
0.03355328	13.12578	0.08760316	
0.07154471	13.75114	0.06869785	
0.09808652	12.33429	0.1190578	
0.04748416	13.37264	0.07958967	
0.1259869	13.44884	0.07726658	
0.05763474	13.45395	0.07711331	
0.1068164	12.74955	0.1013766	
0.1348452	12.55089	0.1094886	
0.149858	12.19674	0.1255533	
0.1437259	12.10822	0.1299138	
0.04349623	12.14503	0.128083	
0.09018941	12.34522	0.1185558	
0.07338176	11.82288	0.1449915	
0.04840161	11.73981	0.1496889	
0.1039761	12.75106	0.1013173	
0.1173053	11.96879	0.1370822	
0.1305473	12.25463	0.1227785	
0.03379989	12.49898	0.1117107	
0.1174534	11.61853	0.1568093	
0.05003962	12.56447	0.108914	
0.09789741	12.8414	0.09782891	
0.03536019	12.54195	0.1098682	
0.04882452	13.19164	0.0853901	
0.07868437	11.68466	0.1528878	
0.04198474	12.74521	0.1015473	
0.09480179	12.92051	0.09487115	
0.07480113	12.89171	0.09593746	
0.26936	12.25136	0.1229334	
0.189034	12.06719	0.1319848	
0.3093132	11.65683	0.1545265	
0.2482097	11.55707	0.1605403	
0.04001177	11.61297	0.1571433	
0.1178683	11.78407	0.147168	
0.0556492	11.27962	0.1784581	
0.1127203	11.05442	0.1943728	
0.1548122	12.19787	0.1254981	
0.2486419	11.4048	0.1701512	
0.3110653	11.72189	0.1507208	
0.0837598	11.98467	0.1362469	
0.228604	11.00224	0.1982449	
0.1205257	11.95345	0.1378937	
0.1291197	12.41273	0.1155014	
0.06625869	11.93446	0.1389047	
0.09849051	12.7014	0.1032868	
0.5828131	11.36156	0.1729787	
0.3738774	11.2134	0.183006	
0.5811849	10.68792	0.223126	
0.5059657	10.54402	0.2354481	
0.07626182	10.63039	0.2279802	
0.2310098	10.73044	0.2195998	
0.1078383	10.28368	0.2593196	
0.1626592	9.905245	0.2978626	
0.29091	11.18799	0.1847797	
0.4185128	10.32817	0.2550921	
0.478777	10.55143	0.2347989	
0.2128957	10.89882	0.206133	
0.4040281	9.824873	0.3066633	
0.197504	10.75392	0.2176743	
0.2710632	11.31034	0.176385	
0.1525367	10.71864	0.2205729	
0.1960562	11.61003	0.1573206	
0.3262517	10.01994	0.2856828	
0.138568	11.08017	0.1924878	
0.2202332	11.42356	0.1689385	
0.1085746	12.07944	0.1313631	
0.1229677	11.90305	0.1405929	
0.1445175	11.48727	0.1648803	
0.127417	11.36707	0.1726159	
0.04128587	11.44162	0.1677784	
0.09253699	11.5831	0.1589502	
0.09946053	11.09165	0.1916527	
0.0596355	10.91769	0.2046721	
0.1932361	12.02929	0.1339259	
0.2550653	11.21354	0.1829962	
0.237985	11.43551	0.1681702	
0.07283805	11.72606	0.1504801	
0.1092085	10.77581	0.2158929	
0.06899374	11.70423	0.1517448	
0.09069465	12.07968	0.1313509	
