Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2108.398	6	4229.019	4228.795	1.000288	0.4278503	
Model:	mtabi4
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	513.3956	482.5919	533.9314	NaN	0	700	53.47649	
a	0.1123636	0.1001164	0.1223636	NaN	-0.5	0.5	0.03545093	
b	1	1.01	1	0.151126	1.5	1	-8.563083e+265	
c	-0.925509	-1.033169	-0.8531337	0.1609979	-2	2	0.549442	
d	9.206644	9.022511	9.29871	0.7034645	0	20	0.3820341	
scale	46.81462	41.76501	54.13316	3.547132	1	100	16.34356	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	a	b	c	d	scale
MA	-9922.39	2.063337	37.43128	5.443767	-34.29394	7.132546	
a	2.063337	-0.0002585761	-0.009757018	-0.002626287	0.01100399	0.008398749	
b	37.43128	-0.009757018	0.02283906	0.03456449	-0.1823761	-0.02182065	
c	5.443767	-0.002626287	0.03456449	0.02592032	-0.095586	0.002268283	
d	-34.29394	0.01100399	-0.1823761	-0.095586	0.4948622	0.02665028	
scale	7.132546	0.008398749	-0.02182065	0.002268283	0.02665028	12.58215	

Source data
abi	tmed	predicted	
283.8185	10.67154	162.8961	
219.765	10.48806	177.8122	
200.2428	10.06609	217.356	
163.3483	12.21532	87.54827	
82.81442	11.76737	101.5778	
181.2071	9.876369	237.2824	
193.794	10.94866	143.0523	
252.0762	11.59372	108.4729	
128.539	11.82213	99.58574	
368.4531	11.47866	113.5588	
390.5265	11.81506	99.83812	
257.8806	11.736	102.7572	
323.3707	11.01136	139.0018	
331.63	10.63505	165.7493	
126.5362	10.74701	157.1734	
138.8275	10.92373	144.7071	
118.656	10.65338	164.3091	
224.8162	10.13953	209.976	
201.3887	11.37159	118.6872	
200.3567	10.44594	181.4368	
260.4685	10.68331	161.9876	
97.66331	10.97178	141.5402	
275.5812	10.09672	214.2533	
174.425	10.88113	147.5936	
123.9797	11.48234	113.3894	
105.1204	10.91439	145.3341	
131.4491	11.61667	107.5093	
195.1344	9.9215	232.4361	
333.5083	9.025067	335.9033	
383.8355	8.833759	358.2446	
403.7539	8.394118	406.598	
358.2352	10.75621	156.4922	
69.89712	10.15692	208.2573	
337.9203	8.20213	425.7977	
413.3528	9.305414	302.6602	
386.4252	10.20549	203.519	
245.612	10.44385	181.6182	
419.262	10.0361	220.4252	
391.8431	10.40382	185.1348	
314.4568	10.34639	190.2953	
374.3908	9.428958	288.0693	
407.595	9.050484	332.9025	
285.625	9.207542	314.2782	
326.7525	9.288868	304.6223	
267.6362	8.983948	340.7452	
368.3821	8.392047	406.8122	
259.7374	9.816253	243.8322	
354.3346	8.801879	361.9115	
391.6063	8.94437	345.3878	
208.26	9.426972	288.3028	
326.4277	8.407901	405.1688	
