Note: [none]
Total # of Iterations:	50000	
Sample size:	383	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2115.235	5	4240.629	4240.469	1.047042	0.4078613	
Model:	mtabi5
PDF:	User-defined function
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MA	700	665	700	274.8591	0	700	57.32012	
Asym	0.0262769	0.01786829	0.0353105	0.01518651	0	0.2	0.04685548	
R0	9.999946	9.429949	10	3.924227	0.5	10	8.482143	
lrc	-1.006203	-1.032708	-0.9789299	0.1342331	-2	0	0.04959682	
scale	49.08703	43.31659	55.68746	3.813362	1	100	18.16796	

Non-varying parameters:
Label	Value
mean	predicted	
x	abi	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MA	Asym	R0	lrc	scale
MA	75547.55	-0.695359	-361.6407	21.11582	-108.8394	
Asym	-0.695359	0.0002306302	0.04306904	0.001149578	0.002178674	
R0	-361.6407	0.04306904	15.39956	0.2993662	-1.578921	
lrc	21.11582	0.001149578	0.2993662	0.01801853	-0.09510028	
scale	-108.8394	0.002178674	-1.578921	-0.09510028	14.54173	

Source data
abi	tmed	predicted	
283.8185	10.67154	159.4935	
219.765	10.48806	169.2832	
200.2428	10.06609	194.4534	
163.3483	12.21532	98.63622	
82.81442	11.76737	112.9153	
181.2071	9.876369	207.0987	
193.794	10.94866	145.8979	
252.0762	11.59372	119.1105	
128.539	11.82213	111.0416	
368.4531	11.47866	123.4379	
390.5265	11.81506	111.2813	
257.8806	11.736	114.0055	
323.3707	11.01136	143.0083	
331.63	10.63505	161.3885	
126.5362	10.74701	155.6532	
138.8275	10.92373	147.0654	
118.656	10.65338	160.4334	
224.8162	10.13953	189.789	
201.3887	11.37159	127.6313	
200.3567	10.44594	171.625	
260.4685	10.68331	158.8874	
97.66331	10.97178	144.8247	
275.5812	10.09672	192.4923	
174.425	10.88113	149.085	
123.9797	11.48234	123.2967	
105.1204	10.91439	147.5058	
131.4491	11.61667	118.269	
195.1344	9.9215	204.0106	
333.5083	9.025067	275.9979	
383.8355	8.833759	294.6606	
403.7539	8.394118	342.8342	
358.2352	10.75621	155.1923	
69.89712	10.15692	188.7025	
337.9203	8.20213	366.4255	
413.3528	9.305414	250.9025	
386.4252	10.20549	185.7051	
245.612	10.44385	171.7419	
419.262	10.0361	196.3944	
391.8431	10.40382	174.0028	
314.4568	10.34639	177.3048	
374.3908	9.428958	240.6342	
407.595	9.050484	273.6152	
285.625	9.207542	259.373	
326.7525	9.288868	252.3133	
267.6362	8.983948	279.8998	
368.3821	8.392047	343.0799	
259.7374	9.816253	211.292	
354.3346	8.801879	297.8994	
391.6063	8.94437	283.7113	
208.26	9.426972	240.7956	
326.4277	8.407901	341.2033	
286.6137	9.156835	263.882	
238.3668	9.872912	207.3373	
266.9323	9.220841	258.2041	
268.7025	10.06176	194.732	
324.4996	8.12988	375.7411	
43.43188	14.57682	52.23496	
71.0771	14.27647	56.16275	
43.27117	14.00469	60.10843	
39.60789	15.65443	41.21527	
16.74983	15.44998	42.98646	
97.65343	13.90617	61.63839	
136.9736	14.79288	49.66465	
50.11727	14.88039	48.67996	
32.35031	15.0354	47.01137	
28.11402	15.07248	46.62597	
37.81393	15.39656	43.47145	
56.99967	15.09243	46.42081	
40.76413	14.97087	47.69457	
123.8449	14.6502	51.33923	
37.85461	14.48524	53.38729	
24.08204	15.12706	46.06827	
32.74552	14.68435	50.93036	
28.72743	14.63184	51.56106	
41.90247	15.36337	43.77763	
147.599	14.5268	52.85961	
98.32373	15.04664	46.89404	
4.991291	15.13608	45.97708	
37.86884	14.43493	54.03688	
8.607415	15.50237	42.51993	
21.82382	15.65799	41.18559	
19.75664	15.34972	43.90464	
37.2187	15.58787	41.77744	
23.98065	14.57152	52.3006	
14.14422	15.32993	44.08989	
24.25881	15.80108	40.02391	
16.81218	15.51106	42.44341	
40.70617	16.53306	34.94516	
44.24658	12.61463	87.7366	
65.98253	12.3259	95.45698	
59.34909	11.92053	107.7679	
28.89973	13.75117	64.15971	
17.14858	13.52661	68.07565	
54.08257	12.02424	104.4426	
108.5069	12.86419	81.68982	
90.2844	13.08273	76.82936	
21.60283	13.30307	72.3065	
43.23105	13.20971	74.17852	
49.03176	13.31781	72.01684	
84.14669	13.11083	76.23205	
83.59087	12.85564	81.88797	
106.2187	12.68337	86.01575	
19.66275	12.70888	85.38803	
36.99787	12.9846	78.96396	
34.61264	12.51785	90.23429	
15.89876	12.51045	90.42896	
43.16253	13.48725	68.79583	
78.4813	12.65853	86.63255	
90.88003	12.93468	80.07945	
20.08623	12.90525	80.74686	
74.68208	12.39118	93.63949	
24.0964	13.19346	74.51095	
32.72445	13.34513	71.48387	
13.42811	13.01616	78.26911	
38.6194	13.70839	64.88116	
49.95838	12.15359	100.4678	
40.10995	13.21725	74.02489	
38.42542	13.56741	67.34006	
20.8842	13.33447	71.69123	
32.29714	14.66723	51.1347	
136.7245	13.30687	72.23163	
174.6189	13.00922	78.42116	
110.5394	12.74102	84.60541	
111.5475	14.5459	52.6197	
69.63956	14.2025	57.19808	
218.9705	12.64504	86.97001	
256.017	13.54969	67.65827	
101.1595	13.81843	63.04801	
58.75446	13.9806	60.47745	
102.7266	13.98397	60.42566	
100.132	14.31136	55.68411	
121.5486	14.03289	59.6806	
97.86366	13.75783	64.04845	
179.9195	13.44531	69.57458	
54.51957	13.29281	72.50911	
49.70573	13.85621	62.43545	
81.14181	13.40368	70.35957	
103.8268	13.29086	72.54781	
77.73349	14.15875	57.82384	
133.6539	13.24589	73.44555	
105.6338	13.70181	64.99306	
15.00712	13.9476	60.98828	
42.33777	13.13108	75.80548	
21.93534	14.17628	57.57193	
34.04212	14.40997	54.36366	
12.04831	14.03355	59.67066	
46.09271	14.3783	54.78248	
43.35106	13.19144	74.55231	
51.67102	12.49943	90.71957	
73.33223	12.17905	99.70745	
39.35857	11.89403	108.6381	
29.92115	13.59298	66.88463	
15.65791	13.44597	69.56213	
49.58634	12.04161	103.8978	
94.25153	12.81968	82.72841	
112.6419	13.06864	77.13111	
19.2458	13.23438	73.67764	
66.25292	13.26002	73.16176	
104.7079	13.22271	73.91393	
65.19305	13.00417	78.53198	
109.7584	12.71884	85.14451	
95.6145	12.64827	86.88908	
22.28116	12.66909	86.36981	
71.93973	12.90435	80.76734	
38.91536	12.35925	94.52289	
56.81601	12.24473	97.7782	
51.6663	13.21941	73.98113	
100.238	12.50525	90.56581	
119.8198	12.83743	82.31224	
23.91172	13.05593	77.40479	
156.7277	12.1365	100.9822	
55.11125	13.12328	75.96948	
43.75684	13.41941	70.0615	
20.60842	13.12578	75.91688	
40.79479	13.75114	64.16022	
68.3663	12.33429	95.22099	
32.74983	13.37264	70.95251	
82.38281	13.44884	69.50848	
39.93511	13.45395	69.41312	
48.19133	12.00144	105.1629	
55.95284	11.69362	115.4985	
32.43504	11.37332	127.5622	
14.70802	13.17398	74.91198	
13.44888	12.93707	80.02566	
48.91465	11.47315	123.6495	
57.81714	12.28672	96.56881	
84.10241	12.62964	87.35712	
28.58816	12.80579	83.05597	
79.73504	12.76751	83.96715	
63.13915	12.74955	84.39924	
76.52466	12.55089	89.37176	
82.13716	12.19674	99.18335	
92.08521	12.10822	101.8405	
22.57019	12.14503	100.7251	
49.91984	12.34522	94.91451	
44.86561	11.82288	111.0162	
25.33824	11.73981	113.8724	
53.07981	12.75106	84.36284	
69.0459	11.96879	106.2049	
87.00979	12.25463	97.49136	
17.79226	12.49898	90.73145	
84.64869	11.61853	118.2011	
31.41988	12.56447	89.02004	
58.64055	12.8414	82.21961	
17.66949	12.54195	89.60411	
24.35855	13.19164	74.54832	
50.30292	11.68466	115.8172	
26.03474	12.74521	84.50399	
56.37862	12.92051	80.39983	
46.0027	12.89171	81.05617	
102.5347	11.40216	126.4172	
93.27183	11.06633	140.5293	
66.7561	10.74789	155.609	
35.58862	12.6457	86.95351	
21.4381	12.36559	94.34675	
105.3644	10.87789	149.2404	
151.8639	11.70427	115.121	
179.7566	12.14038	100.8654	
34.60463	12.31773	95.68734	
117.4366	12.24323	97.82155	
211.1243	12.25136	97.58583	
155.2159	12.06719	103.1019	
214.1994	11.65683	116.8134	
216.2651	11.55707	120.4693	
26.32774	11.61297	118.4042	
83.58044	11.78407	112.3397	
48.21447	11.27962	131.3667	
86.54661	11.05442	141.0623	
109.1735	12.19787	99.14975	
203.5879	11.4048	126.313	
259.6151	11.72189	114.4998	
50.53229	11.98467	105.6965	
204.9435	11.00224	143.4248	
91.29824	11.95345	106.6987	
89.77696	12.41273	93.04894	
49.98555	11.93446	107.3139	
67.51524	12.7014	85.5715	
436.607	10.38867	174.867	
464.8347	10.05579	195.1174	
335.8146	9.695946	219.966	
192.2319	11.77895	112.516	
170.624	11.37437	127.5204	
479.4308	9.779675	213.889	
590.0851	10.65438	160.3815	
518.7288	11.27621	131.5078	
111.1375	11.46812	123.8432	
319.483	11.29193	130.8595	
427.61	11.36156	128.0328	
307.1029	11.2134	134.1353	
409.5029	10.68792	158.651	
393.2365	10.54402	166.2274	
49.49392	10.63039	161.6325	
160.8752	10.73044	156.4877	
89.0744	10.28368	180.99	
119.7009	9.905245	205.1169	
190.5169	11.18799	135.2155	
329.3277	10.32817	178.3667	
395.1825	10.55143	165.8276	
125.0336	10.89882	148.2429	
341.9694	9.824873	210.6851	
152.6706	10.75392	155.3072	
188.1992	11.31034	130.1052	
