Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.3844	3	-194.6724	-194.7688	0.9990744	0.3956768	
Model:	mtrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.9959957	0	1	NaN	0	1	1	
OTmed	5.135311	5	6.324486	NaN	5	20	15	
b	0.4264595	0.01	0.5819598	NaN	0.01	5	4.99	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
tmed	tmed	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	OTmed	b
MR	-114.9469	314.2437	-18.52703	
OTmed	314.2437	-831.3891	47.6003	
b	-18.52703	47.6003	-2.644466	

Source data
rat	tmed	predicted	
0.4759616	11.81506	0.1476717	
0.3003152	11.736	0.152266	
0.3938742	11.01136	0.201161	
0.3736255	10.63505	0.2319739	
0.1600306	10.74701	0.222383	
0.1650547	10.92373	0.2079801	
0.1405044	10.65338	0.2303785	
0.2793442	10.13953	0.2790422	
0.2575962	11.37159	0.1752553	
0.2420352	10.44594	0.2490271	
0.2945809	10.68331	0.2277944	
0.1342082	10.97178	0.204215	
0.2948654	10.09672	0.283479	
0.1885472	10.88113	0.2113713	
0.1472617	11.48234	0.1679425	
0.1241091	10.91439	0.2087198	
0.1573864	11.61667	0.159459	
0.2249388	9.9215	0.3022867	
0.6260474	10.40382	0.2529751	
0.4121322	10.34639	0.2584486	
0.5715017	9.428958	0.3609103	
0.5446219	9.050484	0.4119463	
0.4744601	9.207542	0.3901267	
0.5349582	9.288868	0.3791859	
0.3405907	8.983948	0.4214642	
0.5210497	8.392047	0.5131466	
0.4548816	9.816253	0.3140904	
0.5954203	8.801879	0.4483377	
0.5923556	8.94437	0.427203	
0.4001922	9.426972	0.3611644	
0.4739078	8.407901	0.5105327	
0.4527148	9.156835	0.3970717	
0.4141188	9.872912	0.3076881	
0.4945938	9.220841	0.3883208	
0.4601859	10.06176	0.2871486	
0.5061606	8.12988	0.5575227	
0.1543426	15.39656	0.03620546	
0.1832787	15.09243	0.0407953	
0.1523323	14.97087	0.04279096	
0.3161728	14.6502	0.04854172	
0.1251806	14.48524	0.05179753	
0.08662605	15.12706	0.04024435	
0.1073976	14.68435	0.04789373	
0.1177354	14.63184	0.04889354	
0.1325189	15.36337	0.03667983	
0.4343702	14.5268	0.0509571	
0.2418193	15.04664	0.04153582	
0.01669328	15.13608	0.04010194	
0.1009567	14.43493	0.05283358	
0.03109615	15.50237	0.03473458	
0.1053782	15.65799	0.0326806	
0.1208357	15.34972	0.03687675	
0.1397098	15.58787	0.03359037	
0.08104308	14.57152	0.05006795	
0.04561179	15.32993	0.03716414	
0.09793627	15.80108	0.03090105	
0.06287278	15.51106	0.03461651	
0.1351467	16.53306	0.02322657	
0.09732386	13.31781	0.08202701	
0.1655779	13.11083	0.08898323	
0.1609994	12.85564	0.09836514	
0.1874337	12.68337	0.1052416	
0.0406339	12.70888	0.1041945	
0.07405498	12.9846	0.09350852	
0.05920739	12.51785	0.1122907	
0.03349928	12.51045	0.1126165	
0.09358744	13.48725	0.0767355	
0.1480221	12.65853	0.106271	
0.1508633	12.93468	0.09535978	
0.04389473	12.90525	0.0964683	
0.1161283	12.39118	0.1179941	
0.04617053	13.19346	0.08613892	
0.07283431	13.34513	0.08114991	
0.03174495	13.01616	0.09235637	
0.08635824	13.70839	0.07033631	
0.08286346	12.15359	0.1294599	
0.07499991	13.21725	0.08533664	
0.07621066	13.56741	0.0743515	
0.04650233	13.33447	0.08149109	
0.07267583	14.66723	0.04821749	
0.1684874	14.31136	0.0554677	
0.1775987	14.03289	0.0618972	
0.1766173	13.75783	0.06898003	
0.2561497	13.44531	0.07801278	
0.08581704	13.29281	0.08283762	
0.08165883	13.85621	0.06635812	
0.1181447	13.40368	0.07930165	
0.1629166	13.29086	0.08290136	
0.1210237	14.15875	0.05890357	
0.1912346	13.24589	0.08438098	
0.1455412	13.70181	0.0705187	
0.02651434	13.9476	0.06401195	
0.05568562	13.13108	0.08827777	
0.03503488	14.17628	0.05849827	
0.05777684	14.40997	0.05335535	
0.02008387	14.03355	0.06188115	
0.07143941	14.3783	0.05402467	
0.06278213	13.19144	0.08620722	
0.1573845	13.22271	0.08515356	
0.09247242	13.00417	0.09279215	
0.1796374	12.71884	0.1037884	
0.1271469	12.64827	0.1066993	
0.04003083	12.66909	0.1058325	
0.1220973	12.90435	0.09650234	
0.05457975	12.35925	0.1194754	
0.09209923	12.24473	0.1249396	
0.08777828	13.21941	0.08526443	
0.147539	12.50525	0.1128455	
0.1625557	12.83743	0.09907089	
0.04442081	13.05593	0.0909243	
0.1986661	12.1365	0.1303249	
0.08226787	13.12328	0.08854895	
0.07064392	13.41941	0.07881209	
0.03355328	13.12578	0.08846198	
0.07154471	13.75114	0.06916197	
0.09808652	12.33429	0.1206465	
0.04748416	13.37264	0.08027607	
0.1259869	13.44884	0.07790431	
0.05763474	13.45395	0.07774785	
0.1068164	12.74955	0.102546	
0.1348452	12.55089	0.1108478	
0.149858	12.19674	0.1273006	
0.1437259	12.10822	0.1317688	
0.04349623	12.14503	0.1298926	
0.09018941	12.34522	0.1201323	
0.07338176	11.82288	0.1472247	
0.04840161	11.73981	0.1520417	
0.1039761	12.75106	0.1024854	
0.1173053	11.96879	0.1391159	
0.1305473	12.25463	0.1244578	
0.03379989	12.49898	0.1131227	
0.1174534	11.61853	0.1593444	
0.05003962	12.56447	0.1102597	
0.09789741	12.8414	0.09891678	
0.03536019	12.54195	0.1112364	
0.04882452	13.19164	0.08620062	
0.07868437	11.68466	0.1553224	
0.04198474	12.74521	0.1027206	
0.09480179	12.92051	0.09589182	
0.07480113	12.89171	0.09698228	
0.26936	12.25136	0.1246165	
0.189034	12.06719	0.1338912	
0.3093132	11.65683	0.157003	
0.2482097	11.55707	0.1631716	
0.04001177	11.61297	0.159687	
0.1178683	11.78407	0.1494565	
0.0556492	11.27962	0.181555	
0.1127203	11.05442	0.1978873	
0.1548122	12.19787	0.1272441	
0.2486419	11.4048	0.1730315	
0.3110653	11.72189	0.1530999	
0.0837598	11.98467	0.1382596	
0.228604	11.00224	0.2018614	
0.1205257	11.95345	0.1399478	
0.1291197	12.41273	0.1170042	
0.06625869	11.93446	0.1409842	
0.09849051	12.7014	0.1045005	
0.5828131	11.36156	0.1759326	
0.3738774	11.2134	0.186222	
0.5811849	10.68792	0.2273991	
0.5059657	10.54402	0.2400462	
0.07626182	10.63039	0.2323815	
0.2310098	10.73044	0.2237799	
0.1078383	10.28368	0.2645447	
0.1626592	9.905245	0.3040845	
0.29091	11.18799	0.1880421	
0.4185128	10.32817	0.2602066	
0.478777	10.55143	0.2393799	
0.2128957	10.89882	0.2099575	
0.4040281	9.824873	0.3131091	
0.197504	10.75392	0.2218034	
0.2710632	11.31034	0.1794278	
0.1525367	10.71864	0.2247786	
0.1960562	11.61003	0.1598689	
0.3262517	10.01994	0.2915924	
0.138568	11.08017	0.1959527	
0.2202332	11.42356	0.1717872	
0.1085746	12.07944	0.133254	
0.1229677	11.90305	0.142715	
0.1445175	11.48727	0.1676238	
0.127417	11.36707	0.1755603	
0.04128587	11.44162	0.170597	
0.09253699	11.5831	0.1615405	
0.09946053	11.09165	0.1950957	
0.0596355	10.91769	0.208458	
0.1932361	12.02929	0.1358807	
0.2550653	11.21354	0.1862119	
0.237985	11.43551	0.170999	
0.07283805	11.72606	0.1528531	
0.1092085	10.77581	0.219975	
0.06899374	11.70423	0.1541501	
0.09069465	12.07968	0.1332415	
