Note: [none]
Total # of Iterations:	1e+05	
Sample size:	253	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
100.2346	3	-194.3729	-194.4692	0.9971949	0.2244768	
Model:	mwbrat3
PDF:	dnorm
Support interval range:	2

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
MR	0.3957558	0	0.8387267	0.4233713	0	1	1	
WBmed	18.93326	-158.1344	158.2378	83.85033	-300	500	800	
WBb	2.057542	-6.672118	6.681082	2.757201	-10	80	90	

Non-varying parameters:
Label	Value
mean	predicted	
x	rat	
wb	wb	


Annealing regime:
Initial temp	Rt	ns	nt
5	0.975	20	100

Variance - Covariance Matrix:
	MR	WBmed	WBb
MR	0.1792433	-19.41817	0.2339303	
WBmed	-19.41817	7030.878	-207.1607	
WBb	0.2339303	-207.1607	7.602155	

Source data
rat	wb	predicted	
0.4759616	-161.1184	0.2302813	
0.3003152	-64.18379	0.3318784	
0.3938742	76.77306	0.3139806	
0.3736255	-71.36195	0.3214588	
0.1600306	-348.32	0.1453506	
0.1650547	-164.4911	0.2278695	
0.1405044	-203.875	0.2031032	
0.2793442	125.3749	0.2594948	
0.2575962	198.3678	0.2062313	
0.2420352	802.747	0.07537535	
0.2945809	-27.06456	0.3898332	
0.1342082	-119.4822	0.2650609	
0.2948654	-13.48224	0.3904034	
0.1885472	-162.9127	0.2289917	
0.1472617	-321.9227	0.1533356	
0.1241091	-58.0992	0.3411488	
0.1573864	-334.2297	0.1495084	
0.2249388	431.9746	0.1246625	
0.6260474	-127.1168	0.2578952	
0.4121322	-34.30199	0.3795876	
0.5715017	124.6573	0.2601598	
0.5446219	-19.0394	0.3957543	
0.4744601	-300.9227	0.1603309	
0.5349582	-111.8937	0.2726001	
0.3405907	-141.614	0.2453287	
0.5210497	170.3971	0.2237685	
0.4548816	240.2473	0.1846338	
0.5954203	846.6235	0.07188323	
0.5923556	20.94278	0.3952804	
0.4001922	-68.34087	0.3257746	
0.4739078	30.13466	0.3857875	
0.4527148	-97.81491	0.2878107	
0.4141188	-285.5812	0.1658534	
0.4945938	23.53267	0.3935514	
0.4601859	-291.6022	0.1636416	
0.5061606	476.5893	0.1157994	
0.1543426	-615.2016	0.09459816	
0.1832787	-564.0491	0.101507	
0.1523323	-596.3456	0.09703971	
0.3161728	-445.327	0.121877	
0.1251806	-674.8043	0.08758338	
0.08662605	-550.0901	0.1035593	
0.1073976	-595.1465	0.09719896	
0.1177354	-509.7141	0.1099611	
0.1325189	-500.9678	0.1114476	
0.4343702	-324.6614	0.1524673	
0.2418193	-593.0901	0.09747321	
0.01669328	-616.8551	0.09438952	
0.1009567	-567.0046	0.1010822	
0.03109615	-680.0306	0.08701425	
0.1053782	-626.5616	0.09318189	
0.1208357	-528.4273	0.1069037	
0.1397098	-702.8775	0.08460466	
0.08104308	-422.5915	0.1266943	
0.04561179	-706.9501	0.08418805	
0.09793627	-648.9416	0.09050441	
0.06287278	-587.8988	0.09817203	
0.1351467	-349.5562	0.1449966	
0.09732386	-389.6823	0.1343533	
0.1655779	-388.1099	0.1347417	
0.1609994	-407.4436	0.1301121	
0.1874337	-353.5972	0.143851	
0.0406339	-582.135	0.09895899	
0.07405498	-407.3059	0.130144	
0.05920739	-355.1119	0.1434262	
0.03349928	-424.2578	0.1263288	
0.09358744	-407.0217	0.1302099	
0.1480221	-222.2121	0.1933475	
0.1508633	-391.4452	0.1339204	
0.04389473	-448.3811	0.1212565	
0.1161283	-465.688	0.1178517	
0.04617053	-511.5146	0.1096598	
0.07283431	-539.3535	0.1051918	
0.03174495	-446.9757	0.1215413	
0.08635824	-612.9731	0.09488071	
0.08286346	-270.974	0.1714741	
0.07499991	-533.3499	0.106126	
0.07621066	-484.8056	0.1142971	
0.04650233	-550.0231	0.1035694	
0.07267583	-352.6352	0.1441221	
0.1684874	-588.2293	0.09812726	
0.1775987	-530.5482	0.1065673	
0.1766173	-569.6704	0.1007019	
0.2561497	-400.1882	0.1318129	
0.08581704	-628.1059	0.09299242	
0.08165883	-498.7953	0.1118227	
0.1181447	-545.843	0.1041994	
0.1629166	-455.7928	0.1197757	
0.1210237	-463.2067	0.1183286	
0.1912346	-279.8037	0.1680321	
0.1455412	-541.0715	0.1049273	
0.02651434	-570.8406	0.1005359	
0.05568562	-527.051	0.1071231	
0.03503488	-630.3701	0.0927159	
0.05777684	-571.2455	0.1004785	
0.02008387	-466.5412	0.1176886	
0.07143941	-655.3221	0.08976711	
0.06278213	-377.4503	0.137433	
0.1573845	-378.874	0.1370676	
0.09247242	-367.0403	0.1401641	
0.1796374	-372.0856	0.1388274	
0.1271469	-373.289	0.1385122	
0.04003083	-581.2544	0.09908026	
0.1220973	-362.0738	0.1415045	
0.05457975	-361.4389	0.1416777	
0.09209923	-378.5147	0.1371596	
0.08777828	-271.3657	0.1713185	
0.147539	-135.5035	0.2504685	
0.1625557	-446.7216	0.1215929	
0.04442081	-477.1589	0.1156941	
0.1986661	-287.2538	0.165233	
0.08226787	-473.6482	0.1163464	
0.07064392	-546.0022	0.1041752	
0.03355328	-419.7008	0.1273331	
0.07154471	-585.8015	0.09845703	
0.09808652	-230.0192	0.1894758	
0.04748416	-478.8798	0.1153768	
0.1259869	-430.3007	0.1250204	
0.05763474	-555.0963	0.1028144	
0.1068164	-373.0922	0.1385637	
0.1348452	-365.8596	0.1404805	
0.149858	-362.1358	0.1414877	
0.1437259	-345.2036	0.1462506	
0.04349623	-569.1806	0.1007716	
0.09018941	-360.4977	0.1419352	
0.07338176	-340.744	0.1475576	
0.04840161	-376.0194	0.1378023	
0.1039761	-288.5496	0.1647556	
0.1173053	-139.3575	0.2472013	
0.1305473	-404.6157	0.13077	
0.03379989	-455.5242	0.1198287	
0.1174534	-326.9048	0.1517633	
0.05003962	-460.5838	0.1188367	
0.09789741	-519.875	0.1082808	
0.03536019	-407.3696	0.1301293	
0.04882452	-566.7088	0.1011246	
0.07868437	-209.5927	0.1999559	
0.04198474	-471.3113	0.1167845	
0.09480179	-411.409	0.1292003	
0.07480113	-533.2849	0.1061362	
0.26936	-359.7821	0.1421315	
0.189034	-348.2046	0.1453838	
0.3093132	-339.3143	0.1479815	
0.2482097	-339.9367	0.1477967	
0.04001177	-545.8614	0.1041966	
0.1178683	-333.4477	0.149746	
0.0556492	-324.6393	0.1524743	
0.1127203	-300.7334	0.1603968	
0.1548122	-185.7268	0.2137966	
0.2486419	3.998362	0.2974365	
0.3110653	-375.1506	0.1380274	
0.0837598	-382.8554	0.1360554	
0.228604	-208.8507	0.2003587	
0.1205257	-358.7068	0.1424276	
0.1291197	-467.3876	0.1175272	
0.06625869	-309.9422	0.1572508	
0.09849051	-543.1919	0.1046026	
0.5828131	-329.9272	0.1508249	
0.3738774	-321.7956	0.1533761	
0.5811849	-277.4243	0.168946	
0.5059657	-262.0507	0.1750984	
0.07626182	-499.1951	0.1117535	
0.2310098	-289.3028	0.1644794	
0.1078383	-284.0455	0.166427	
0.1626592	-220.9486	0.1939892	
0.29091	-74.82954	0.3166296	
0.4185128	171.4345	0.2230637	
0.478777	-286.6887	0.1654421	
0.2128957	-310.2681	0.1571416	
0.4040281	-140.5184	0.2462342	
0.197504	-265.4929	0.1736823	
0.2710632	-394.991	0.1330579	
0.1525367	-203.7416	0.2031778	
0.1960562	-481.8804	0.1148277	
0.3262517	-97.72987	0.2879078	
0.138568	-392.3084	0.1337094	
0.2202332	-372.54	0.1387082	
0.1085746	-356.2263	0.1431152	
0.1229677	-349.7159	0.144951	
0.1445175	-339.4601	0.1479382	
0.127417	-319.4423	0.1541303	
0.04128587	-544.8333	0.1043526	
0.09253699	-334.3629	0.1494681	
